tester_strain,tailocin_donor_strain,phenotype
p12.A11,p5.C3,S
p12.A11,p21.F9,S
p12.A11,p23.B2,S
p12.A11,p25.A12,S
p12.A11,p7.G11,S
p12.A11,p7.G11,S
p12.A11,p23.B8,R
p12.A11,p23.B8,S
p12.A11,p25.A12,S
p12.A11,p1.G2,S
p12.A11,p5.C3,S
p12.A11,p21.F9,R
p12.E2,p25.A12,S
p12.E2,p1.G2,S
p12.E2,p21.F9,S
p12.E2,p5.C3,S
p12.E2,p25.A12,S
p12.E2,p5.C3,R
p12.E2,p23.B2,S
p12.E2,p23.B8,S
p12.G7,p7.G11,R
p12.G7,p21.F9,S
p12.G7,p23.B8,R
p12.G7,p23.B8,R
p12.G7,p25.A12,R
p12.G7,p21.F9,S
p12.G7,p5.C3,S
p12.G7,p23.B2,R
p12.G7,p25.A12,R
p12.G7,p1.G2,R
p12.G7,p5.C3,R
p12.G7,p7.G11,R
p13.C1,p1.G2,S
p13.C1,p7.G11,S
p13.C1,p5.C3,R
p13.C1,p25.A12,S
p13.C1,p5.C3,S
p13.C1,p25.A12,S
p13.C1,p21.F9,S
p13.C1,p23.B2,S
p13.C1,p23.B8,S
p13.C1,p7.G11,S
p13.D10,p5.C3,S
p13.D10,p21.F9,S
p13.D10,p23.B2,S
p13.D10,p23.B8,S
p13.D10,p7.G11,S
p13.D10,p23.B8,R
p13.D10,p25.A12,S
p13.D10,p5.C3,S
p13.D10,p1.G2,S
p13.D10,p7.G11,S
p13.D10,p21.F9,R
p13.D10,p25.A12,R
p13.F3,p1.G2,S
p13.F3,p7.G11,R
p13.F3,p5.C3,R
p13.F3,p23.B2,S
p13.F3,p23.B8,S
p13.F3,p5.C3,S
p13.F3,p21.F9,S
p13.F3,p25.A12,R
p13.F3,p23.B8,S
p13.F3,p7.G11,R
p13.F3,p25.A12,R
p13.F3,p21.F9,S
p20.D4,p5.C3,S
p20.D4,p7.G11,S
p20.D4,p23.B8,R
p20.D4,p23.B8,R
p20.D4,p23.B2,S
p20.D4,p21.F9,S
p20.D4,p5.C3,S
p20.D4,p25.A12,S
p20.D4,p1.G2,S
p20.D4,p25.A12,S
p20.D4,p7.G11,S
p20.D4,p21.F9,R
p20.F10,p23.B2,S
p20.F10,p25.A12,S
p20.F10,p23.B8,R
p20.F10,p5.C3,S
p20.F10,p1.G2,S
p20.F10,p25.A12,S
p20.F10,p5.C3,R
p20.F10,p23.B8,R
p20.F10,p21.F9,R
p20.F10,p21.F9,R
p20.G9,p21.F9,R
p20.G9,p25.A12,S
p20.G9,p1.G2,S
p20.G9,p23.B2,S
p20.G9,p21.F9,R
p20.G9,p5.C3,R
p20.G9,p23.B8,R
p20.G9,p25.A12,S
p20.G9,p5.C3,S
p20.G9,p23.B8,R
p21.A8,p25.A12,S
p21.A8,p1.G2,S
p21.A8,p23.B2,S
p21.A8,p21.F9,R
p21.A8,p25.A12,S
p21.A8,p23.B8,R
p21.A8,p23.B8,R
p21.A8,p5.C3,S
p21.A8,p21.F9,R
p21.A8,p5.C3,R
p21.E3,p7.G11,S
p21.E3,p25.A12,S
p21.E3,p5.C3,S
p21.E3,p5.C3,R
p21.E3,p1.G2,S
p21.E3,p23.B2,S
p21.E3,p25.A12,S
p21.E3,p23.B8,S
p21.E3,p21.F9,S
p21.E3,p7.G11,S
p21.E3,p21.F9,S
p21.E3,p23.B8,S
p21.F1,p23.B8,S
p21.F1,p1.G2,S
p21.F1,p25.A12,S
p21.F1,p7.G11,S
p21.F1,p23.B8,S
p21.F1,p21.F9,R
p21.F1,p23.B2,S
p21.F1,p21.F9,S
p21.F1,p5.C3,S
p21.F1,p7.G11,S
p21.F1,p25.A12,S
p21.F1,p5.C3,R
p21.F9,p7.G11,S
p21.F9,p23.B2,S
p21.F9,p1.G2,S
p21.F9,p5.C3,S
p21.F9,p25.A12,S
p21.F9,p23.B8,R
p21.F9,p5.C3,R
p21.F9,p21.F9,R
p21.F9,p7.G11,S
p22.A8,p23.B8,S
p22.A8,p23.B2,S
p22.A8,p25.A12,S
p22.A8,p5.C3,S
p22.A8,p21.F9,S
p22.A8,p23.B8,S
p22.A8,p1.G2,S
p22.A8,p7.G11,R
p22.A8,p21.F9,S
p22.A8,p5.C3,R
p22.A8,p7.G11,R
p22.A8,p25.A12,S
p22.B5,p25.A12,S
p22.B5,p5.C3,S
p22.B5,p23.B2,S
p22.B5,p7.G11,S
p22.B5,p21.F9,R
p22.B5,p23.B8,S
p22.B5,p7.G11,S
p22.B5,p23.B8,R
p22.B5,p5.C3,S
p22.B5,p25.A12,S
p22.B5,p21.F9,R
p22.B5,p1.G2,S
p22.C1,p23.B8,R
p22.C1,p25.A12,R
p22.C1,p1.G2,R
p22.C1,p5.C3,R
p22.C1,p25.A12,R
p22.C1,p5.C3,R
p22.C1,p21.F9,R
p22.C1,p21.F9,R
p22.C1,p23.B2,S
p22.C1,p7.G11,S
p22.C1,p7.G11,S
p22.C1,p23.B8,R
p22.D1,p25.A12,S
p22.D1,p5.C3,R
p22.D1,p5.C3,S
p22.D1,p7.G11,S
p22.D1,p21.F9,R
p22.D1,p23.B2,S
p22.D1,p23.B8,S
p22.D1,p7.G11,S
p22.D1,p1.G2,S
p22.D1,p21.F9,R
p22.D1,p25.A12,S
p22.D1,p23.B8,S
p22.D4,p23.B2,S
p22.D4,p1.G2,S
p22.D4,p23.B8,S
p22.D4,p25.A12,S
p22.D4,p23.B8,S
p22.D4,p7.G11,S
p22.D4,p5.C3,S
p22.D4,p21.F9,S
