"","p7.G11","p23.B2","p25.A12","p1.G2","p5.C3","p21.F9","p23.B8"
"p12.A11",1,1,1,1,1,1,0
"p12.E2",NA,1,1,1,1,1,1
"p12.G7",0,0,0,0,1,1,0
"p13.C1",1,1,1,1,0,1,1
"p13.D10",1,1,1,1,1,1,1
"p13.F3",0,1,0,1,0,1,1
"p20.D4",1,1,1,1,1,1,0
"p20.F10",NA,1,1,1,1,0,0
"p20.G9",NA,1,1,1,0,0,0
"p21.A8",NA,1,1,1,1,0,0
"p21.E3",1,1,1,1,1,1,1
"p21.F1",1,1,1,1,1,0,1
"p21.F9",1,1,1,1,1,0,0
"p22.A8",0,1,1,1,1,1,1
"p22.B5",1,1,1,1,1,0,1
"p22.C1",1,1,0,0,0,0,0
"p22.D1",1,1,1,1,0,0,1
"p22.D4",1,1,1,1,1,1,1
"p23.A3",0,1,1,1,0,1,1
"p24.B5",1,1,1,1,0,0,0
"p24.H2",0,0,0,0,0,0,0
"p25.A12",1,0,0,0,0,0,1
"p25.B2",1,1,1,1,1,1,0
"p25.C11",1,1,1,1,0,0,1
"p25.C2",1,1,1,1,1,1,1
"p25.D2",1,1,1,1,0,0,1
"p26.B7",1,1,1,1,1,1,1
"p26.D6",1,1,1,1,1,0,0
"p26.E7",0,1,1,1,1,0,0
"p27.D6",1,1,1,1,0,1,1
"p27.F2",1,1,1,0,0,1,1
"p3.A3",1,1,1,1,1,1,1
"p3.F12",1,1,1,1,0,0,0
"p3.F8",0,1,1,1,0,0,1
"p3.G9",1,1,0,1,0,0,0
"p4.A6",NA,1,1,1,1,1,0
"p4.D2",1,1,0,0,1,1,1
"p4.E5",1,1,1,1,0,0,1
"p4.E6",1,1,1,1,0,1,1
"p5.C1",1,1,1,1,1,0,1
"p5.C3",1,1,1,1,0,0,1
"p5.D5",0,1,1,1,0,1,0
"p5.H11",0,0,0,0,1,0,0
"p6.B9",1,1,1,1,0,0,0
"p7.G11",0,0,0,0,0,0,0
"p8.B3",1,1,1,1,1,0,0
"p8.B9",1,1,1,1,1,0,0
"p8.C7",NA,1,1,1,0,NA,NA
"p8.E4",0,0,1,0,1,1,1
"p8.H7",NA,0,0,0,1,1,1
