strain,HTF_length_haplotype,OBC_presence
plate1.A10,1245,Present
plate1.A11,1245,Present
plate1.A12,1245,Present
plate1.A2,1245,Present
plate1.A3,1803,Present
plate1.A4,1803,Present
plate1.A5,1803,Present
plate1.A7,1803,Present
plate1.A8,1803,Present
plate1.A9,1803,Present
plate1.B1,1245,Present
plate1.B10,1245,Present
plate1.B11,1245,Present
plate1.B12,1245,Present
plate1.B2,1245,Present
plate1.B3,1803,Present
plate1.B4,1803,Present
plate1.B5,1803,Present
plate1.B6,1803,Present
plate1.B7,1803,Present
plate1.B8,1803,Present
plate1.B9,1803,Present
plate1.C1,1803,Present
plate1.C10,1803,Present
plate1.C11,1803,Present
plate1.C12,1803,Present
plate1.C2,1245,Present
plate1.C3,1245,Present
plate1.C4,1803,Present
plate1.C5,NA,Absent
plate1.C6,1803,Present
plate1.C7,1803,Present
plate1.C8,1803,Present
plate1.C9,1803,Present
plate1.D1,1245,Present
plate1.D10,1803,Present
plate1.D11,1803,Present
plate1.D12,1803,Present
plate1.D2,1245,Present
plate1.D3,1245,Present
plate1.D4,1803,Present
plate1.D5,1245,Present
plate1.D6,1830,Absent
plate1.D7,1803,Present
plate1.D8,1245,Present
plate1.D9,1803,Present
plate1.E1,1383,Absent
plate1.E3,1245,Present
plate1.E4,1245,Present
plate1.E5,1383,Absent
plate1.E6,NA,Absent
plate1.E7,1383,Absent
plate1.E8,1245,Present
plate1.F1,NA,Absent
plate1.F10,1803,Present
plate1.F12,1803,Present
plate1.F2,NA,Absent
plate1.F3,1245,Present
plate1.F4,1245,Present
plate1.F5,1245,Present
plate1.F7,1245,Present
plate1.F8,1245,Present
plate1.F9,1803,Present
plate1.G1,1245,Present
plate1.G11,1245,Present
plate1.G12,NA,Absent
plate1.G2,1383,Absent
plate1.G3,1803,Present
plate1.G4,1245,Present
plate1.G5,1245,Present
plate1.G6,1803,Present
plate1.G7,1803,Present
plate1.G8,1803,Present
plate1.G9,1803,Present
plate1.H1,1245,Present
plate1.H11,1803,Present
plate1.H12,1803,Present
plate1.H2,1803,Present
plate1.H3,1383,Absent
plate1.H4,1803,Present
plate1.H5,1803,Present
plate1.H6,1803,Present
plate1.H7,1803,Present
plate1.H8,NA,Absent
plate1.H9,1830,Absent
plate11.A1,1830,Absent
plate11.A10,1383,Absent
plate11.A11,1245,Absent
plate11.A12,1383,Absent
plate11.A2,1803,Present
plate11.A3,1803,Present
plate11.A4,NA,Absent
plate11.A5,1803,Present
plate11.A6,NA,Absent
plate11.A7,1245,Present
plate11.A8,1803,Present
plate11.A9,1383,Absent
plate11.B1,1803,Present
plate11.B10,1803,Present
plate11.B11,1245,Present
plate11.B12,1383,Absent
plate11.B2,1803,Present
plate11.B4,NA,Absent
plate11.B5,NA,Absent
plate11.B6,1803,Present
plate11.B7,NA,Absent
plate11.B8,1245,Present
plate11.B9,1803,Present
plate11.C1,1803,Present
plate11.C10,1803,Present
plate11.C11,1245,Present
plate11.C12,1383,Absent
plate11.C2,1803,Present
plate11.C3,1803,Present
plate11.C4,1383,Absent
plate11.C5,NA,Absent
plate11.C6,NA,Absent
plate11.C7,NA,Absent
plate11.C8,1803,Present
plate11.C9,1803,Present
plate11.D1,1245,Present
plate11.D2,1803,Present
plate11.D3,NA,Absent
plate11.D4,NA,Absent
plate11.D6,1245,Present
plate11.D8,1245,Present
plate11.D9,1245,Present
plate11.E1,1803,Present
plate11.E10,1803,Present
plate11.E11,NA,Absent
plate11.E2,1803,Present
plate11.E3,NA,Absent
plate11.E4,NA,Absent
plate11.E6,1245,Present
plate11.E7,1245,Present
plate11.E8,1245,Present
plate11.E9,1803,Present
plate11.F1,NA,Absent
plate11.F10,1245,Present
plate11.F11,NA,Absent
plate11.F2,1830,Absent
plate11.F3,1245,Present
plate11.F6,1245,Present
plate11.F7,NA,Absent
plate11.F8,1245,Present
plate11.F9,NA,Absent
plate11.G1,NA,Absent
plate11.G10,1245,Present
plate11.G11,1383,Absent
plate11.G2,NA,Absent
plate11.G3,NA,Absent
plate11.G4,NA,Present
plate11.G5,NA,Absent
plate11.G7,1830,Absent
plate11.G8,1803,Present
plate11.G9,1830,Absent
plate11.H1,NA,Absent
plate11.H10,1245,Present
plate11.H11,NA,Absent
plate11.H12,NA,Present
plate11.H3,NA,Absent
plate11.H4,1830,Absent
plate11.H5,NA,Absent
plate11.H6,1245,Present
plate11.H7,1830,Absent
plate11.H8,1803,Present
plate11.H9,1830,Absent
plate12.A1,1245,Present
plate12.A10,1245,Present
plate12.A11,1245,Present
plate12.A2,1245,Present
plate12.A5,1803,Present
plate12.A6,1803,Present
plate12.A7,1803,Present
plate12.A8,1803,Present
plate12.A9,NA,Absent
plate12.B1,1245,Present
plate12.B10,1245,Present
plate12.B11,1245,Present
plate12.B2,1245,Present
plate12.B3,1803,Present
plate12.B5,1803,Present
plate12.B6,1803,Present
plate12.B7,1803,Present
plate12.B8,1803,Present
plate12.B9,1830,Absent
plate12.C1,1245,Present
plate12.C10,1803,Present
plate12.C11,NA,Absent
plate12.C2,1245,Present
plate12.C3,1803,Present
plate12.C5,1803,Present
plate12.C6,1803,Present
plate12.C7,1803,Present
plate12.C8,1245,Present
plate12.C9,1245,Present
plate12.D1,1245,Present
plate12.D12,1245,Present
plate12.D2,1803,Present
plate12.D5,1803,Present
plate12.D6,1803,Present
plate12.D8,1803,Present
plate12.D9,1803,Present
plate12.E1,1803,Present
plate12.E10,1245,Present
plate12.E11,1245,Present
plate12.E2,1803,Present
plate12.E3,1245,Present
plate12.E4,1383,Absent
plate12.E5,1803,Present
plate12.E6,1245,Present
plate12.E7,1245,Present
plate12.E8,1803,Present
plate12.E9,1803,Present
plate12.F1,1383,Absent
plate12.F10,1245,Present
plate12.F11,1245,Present
plate12.F12,NA,Absent
plate12.F2,1245,Present
plate12.F3,1245,Present
plate12.F6,1245,Present
plate12.F9,1803,Present
plate12.G1,1245,Present
plate12.G2,1803,Present
plate12.G3,1803,Present
plate12.G4,1803,Present
plate12.G5,1803,Present
plate12.G6,1803,Present
plate12.G7,1383,Absent
plate12.G8,1803,Present
plate12.H1,1803,Present
plate12.H10,1383,Absent
plate12.H2,1383,Absent
plate12.H3,1803,Present
plate12.H4,1245,Present
plate12.H5,1245,Present
plate12.H6,1245,Present
plate12.H7,NA,Absent
plate12.H8,1383,Absent
plate12.H9,NA,Absent
plate13.A1,1245,Present
plate13.A10,1245,Present
plate13.A11,1245,Present
plate13.A2,1245,Present
plate13.A3,1803,Present
plate13.A4,1803,Present
plate13.A8,1803,Present
plate13.B1,1245,Present
plate13.B10,1245,Present
plate13.B2,1245,Present
plate13.B3,1803,Present
plate13.B4,NA,Absent
plate13.B5,NA,Absent
