tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_00001,8.55663711956116,0.592652031789072,0.152813899362708,0.344532920665764,-4.815645504,4.353326834,-8.784521677,1.89459485217446E-11,2.28102375704597E-11,Not Significant,Non-Focal Trade-off,DAKCFMEO_04477
BJEIHDPM_00002,23.9492603410283,0.298031222533498,0.234487597932055,0.444192943640306,-4.977106856,6.02362247,-15.51345028,4.95549659525384E-20,1.58016133957629E-19,Not Significant,Non-Focal Trade-off,DAKCFMEO_04476
BJEIHDPM_00003,8.22827817886584,0.0137589180367808,0.975506512585218,0.987714216383213,-5.710676979,4.163499597,-15.12833085,1.32237861568031E-19,3.82987023334327E-19,Not Significant,Non-Focal Trade-off,DAKCFMEO_04475
BJEIHDPM_00004,1.48184616262339,-0.23915584441441,0.751130263954253,0.860937896737922,-3.739818503,2.639385501,-6.784051087,1.80708591169737E-08,1.98221835205387E-08,Not Significant,Mutual Detriment,DAKCFMEO_04474
BJEIHDPM_00004,1.48184616262339,-0.23915584441441,0.751130263954253,0.860937896737922,-3.739818503,2.639385501,-6.784051087,1.80708591169737E-08,1.98221835205387E-08,Not Significant,Mutual Detriment,DAKCFMEO_04474
BJEIHDPM_00005,19.2223910433699,1.01826212762432,0.00313047627056654,0.02718169639809,-5.45534228,5.34731417,-13.03551651,3.71418365251042E-17,6.70088998060056E-17,Significant,Non-Focal Trade-off,DAKCFMEO_04473
BJEIHDPM_00006,15.3778217437603,1.68323423247628,0.000344652441968915,0.00554182550572495,-5.443750605,4.47217188,-12.76240983,8.06452574740577E-17,1.38765360565795E-16,Significant,Non-Focal Trade-off,DAKCFMEO_04472
BJEIHDPM_00007,22.3860069727548,1.58827967442135,0.000450983441660116,0.00674580274079838,-5.604952442,5.168648847,-13.86276063,3.75499088803486E-18,8.03397292540316E-18,Significant,Non-Focal Trade-off,DAKCFMEO_04471
BJEIHDPM_00009,18.5187956140632,0.596224901275388,0.109572387955258,0.285494226769494,-5.471299435,5.451183779,-12.82069112,6.82935830696372E-17,1.18617772403615E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_04469
BJEIHDPM_00010,25.943089888393,0.65106416432909,0.0264923666604237,0.115055561340518,-4.367877143,6.11872678,-12.44867673,1.98816553896493E-16,3.26306649161857E-16,Significant,Non-Focal Trade-off,DAKCFMEO_04468
BJEIHDPM_00014,35.3034328744117,0.617462923537847,0.087147468182336,0.244899787026717,-5.967969502,6.232104177,-15.56703937,4.32856681760273E-20,1.39978383811829E-19,Not Significant,Non-Focal Trade-off,DAKCFMEO_04464
BJEIHDPM_00018,24.5599084559374,0.635711293737457,0.0564522928616274,0.188870288705128,-5.801376033,5.816416153,-16.08921717,1.17793830845064E-20,4.34506221541478E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_04460
BJEIHDPM_00019,1.49270410664104,1.42882050297389,0.0793270731211758,0.231859097135785,-2.578175183,2.026121045,-4.210666316,0.00011522,0.000116975,Not Significant,Non-Focal Trade-off,DAKCFMEO_04459
BJEIHDPM_00026,29.5203563450083,0.244271979410788,0.354685605086275,0.570574222371053,-5.505123265,6.351769924,-18.85566462,1.90293837363409E-23,1.57996561506401E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_04453
BJEIHDPM_00030,25.4407352843715,0.151840116771856,0.523606325835985,0.708964569548087,-5.290516331,6.305236625,-17.76499955,2.19374691681348E-22,1.28075321822237E-21,Not Significant,Non-Focal Trade-off,DAKCFMEO_04449
BJEIHDPM_00034,20.8239881936756,0.191670706698745,0.568966352685859,0.738971257045479,-4.621423927,5.610145722,-13.76481866,4.90379887139237E-18,1.02652995610948E-17,Not Significant,Non-Focal Trade-off,DAKCFMEO_04445
BJEIHDPM_00035,20.0996752244981,0.567988610016386,0.0169460355277723,0.0855714701827936,-5.778941714,5.788105522,-16.30098329,7.00732496022398E-21,2.73622070660007E-20,Significant,Non-Focal Trade-off,DAKCFMEO_04444
BJEIHDPM_00036,11.6775501552486,0.362080703465473,0.263971129106803,0.479457765112357,-4.502280572,5.172339194,-12.21405426,3.93623399863174E-16,6.25082295150023E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_04443
BJEIHDPM_00040,17.9422411677051,0.603910407171106,0.0821471622255747,0.236036083340664,-5.042049193,5.620631213,-13.75458044,5.04289457321452E-18,1.05129674443338E-17,Not Significant,Non-Focal Trade-off,DAKCFMEO_04439
BJEIHDPM_00044,12.6291520636164,0.357816850221862,0.227000845038536,0.435716014769087,-5.853529393,5.132087422,-13.86737635,3.70815814185375E-18,7.94439773337329E-18,Not Significant,Non-Focal Trade-off,DAKCFMEO_04435
BJEIHDPM_00045,22.4341365101931,-0.0755346018272862,0.80816904324527,0.893656249928676,-5.119379496,6.036135192,-13.95710776,2.90682319363718E-18,6.36398015796753E-18,Not Significant,Mutual Detriment,DAKCFMEO_04434
BJEIHDPM_00046,22.2087635679682,0.273072503673506,0.408083711537526,0.620315120868315,-4.503731684,5.836871407,-11.50379633,3.24946136616984E-15,4.70696199705677E-15,Not Significant,Non-Focal Trade-off,DAKCFMEO_04433
BJEIHDPM_00047,9.31227387659742,-0.592975612532841,0.106369152442117,0.279670740542051,-4.963055125,5.22084815,-13.05695651,3.49625104904439E-17,6.32912439998643E-17,Not Significant,Mutual Detriment,DAKCFMEO_04432
BJEIHDPM_00048,86.1481099484024,0.9513093909788,0.00116649686164009,0.0134110529551552,-5.048518141,7.219591,-19.97603013,1.7262041490776E-24,2.10255170340695E-23,Significant,Non-Focal Trade-off,DAKCFMEO_04431
BJEIHDPM_00049,18.3413527706979,1.00850945928063,0.00838203616664656,0.0529078878603932,-5.100412766,5.323360704,-14.76257126,3.41177477915003E-19,9.01602817463711E-19,Significant,Non-Focal Trade-off,DAKCFMEO_04430
BJEIHDPM_00049,18.3413527706979,1.00850945928063,0.00838203616664656,0.0529078878603932,-5.100412766,5.323360704,-14.76257126,3.41177477915003E-19,9.01602817463711E-19,Significant,Non-Focal Trade-off,DAKCFMEO_04430
BJEIHDPM_00056,113.525922623234,0.298683794360153,0.0941010539325912,0.25749404458111,-5.584273409,8.102865927,-27.01405114,4.06175280655583E-30,1.49941167066626E-27,Not Significant,Non-Focal Trade-off,DAKCFMEO_04423
BJEIHDPM_00062,3.17151999388937,0.0605527101658845,0.91603220471998,0.957168960611426,-4.739803275,3.325623662,-7.652344766,8.90186776822583E-10,1.01859950929222E-09,Not Significant,Non-Focal Trade-off,DAKCFMEO_04417
BJEIHDPM_00069,90.9924798247282,0.501614312782429,0.0365653977017246,0.142577016230164,-5.056932221,7.823052715,-21.41864379,9.15134725432888E-26,2.04734516502377E-24,Significant,Non-Focal Trade-off,DAKCFMEO_04410
BJEIHDPM_00070,50.9348761397532,0.598026135013562,0.0124102991765899,0.068987193536699,-5.171422717,7.032728588,-18.87440728,1.82639400768994E-23,1.52668239505292E-22,Significant,Non-Focal Trade-off,DAKCFMEO_04409
BJEIHDPM_00071,58.0279103207883,0.747881507181734,0.0014050619267768,0.0151895003411764,-5.203020654,7.012633267,-16.06794426,1.2413591624757E-20,4.53025294351399E-20,Significant,Non-Focal Trade-off,DAKCFMEO_04408
BJEIHDPM_00080,29.7588927289936,0.180778939073583,0.504830096113707,0.693943154624759,-5.461853057,6.337079481,-18.54391624,3.78461190140328E-23,2.75817121481517E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_04399
BJEIHDPM_00081,23.0615627691717,0.444137451386917,0.209334674320831,0.415831146409732,-5.028499149,5.548913842,-14.21283864,1.46008935984414E-18,3.38337461993822E-18,Not Significant,Non-Focal Trade-off,DAKCFMEO_04398
