"","strain","ecotype","batch","replicate","lux_0dpi","lux_7dpi","log_lux_7dpi","log_lux_0dpi","fold_change_7dpi","normalized_value_7dpi"
"1","buffer","Eyach","1",1,60,110.6666667,2.04401682911519,1.77815125038364,1.14951797754785,0.252872714135707
"2","buffer","Eyach","1",4,60,92.33333333,1.96535851432911,1.77815125038364,1.10528196850806,0.208636705095921
"3","buffer","Eyach","1",6,60,76,1.88081359228079,1.77815125038364,1.05773543835205,0.161090174939909
"4","buffer","Eyach","1",7,60,100.6666667,2.00288568838129,1.77815125038364,1.12638657029269,0.22974130688055
"5","buffer","Eyach","1",2,60,109.3333333,2.03875258885961,1.77815125038364,1.14655746434379,0.249912200931647
"6","buffer","Eyach","1",5,60,84.66666667,1.92771246191737,1.77815125038364,1.08411051169098,0.187465248278841
"7","buffer","Eyach","1",3,60,79,1.89762709129044,1.77815125038364,1.0671910451268,0.170545781714654
"8","buffer","Eyach","1",8,60,57,1.75587485567249,1.77815125038364,0.987472159802859,0.0908268963907167
"9","epsE","Eyach","1",2,430.555555533333,418.3333333,2.62152247106279,2.63402919738059,0.99525186496405,0.0986066015519069
"10","epsE","Eyach","1",8,430.555555533333,62.33333333,1.79472035179361,2.63402919738059,0.681359323419183,-0.215285939992959
"11","epsE","Eyach","1",7,430.555555533333,145,2.16136800223497,2.63402919738059,0.820555825419228,-0.0760894379929149
"12","epsE","Eyach","1",1,430.555555533333,470.6666667,2.67271344202688,2.63402919738059,1.01468633858909,0.118041075176952
"13","epsE","Eyach","1",5,430.555555533333,238.6666667,2.37779176764885,2.63402919738059,0.902720353295037,0.00607508988289474
"14","epsE","Eyach","1",6,430.555555533333,136,2.13353890837022,2.63402919738059,0.809990606972738,-0.0866546564394044
"15","epsE","Eyach","1",4,430.555555533333,87,1.93951925261862,2.63402919738059,0.736331721207713,-0.16031354220443
"16","epsE","Eyach","1",3,430.555555533333,127.6666667,2.10607751936235,2.63402919738059,0.799564986392992,-0.0970802770191509
"17","OBC","Eyach","1",3,312.333333333333,339.3333333,2.53062652323842,2.49461833616812,1.01443434714972,0.117789083737575
"18","OBC","Eyach","1",4,312.333333333333,107.3333333,2.03073461684129,2.49461833616812,0.8140462159677,-0.0825990474444424
"19","OBC","Eyach","1",1,312.333333333333,117,2.06818586174616,2.49461833616812,0.829059031500194,-0.067586231911949
"20","OBC","Eyach","1",9,312.333333333333,70.66666667,1.84921460622957,2.49461833616812,0.741281573785784,-0.155363689626358
"21","OBC","Eyach","1",5,312.333333333333,88.33333333,1.94612461920076,2.49461833616812,0.780129204930852,-0.11651605848129
"22","OBC","Eyach","1",2,312.333333333333,660.6666667,2.81998239545151,2.49461833616812,1.13042638810359,0.233781124691446
"23","OBC","Eyach","1",6,312.333333333333,84,1.92427928606188,2.49461833616812,0.77137222081743,-0.125273042594712
"24","OBC","Eyach","1",7,312.333333333333,77,1.88649072517248,2.49461833616812,0.756224187813133,-0.14042107559901
"25","OBC","Eyach","1",8,312.333333333333,65.66666667,1.81734497146398,2.49461833616812,0.728506218813226,-0.168139044598916
"26","rmlC","Eyach","1",3,232.777777766667,622.3333333,2.79402306320615,2.36694151784226,1.18043603618615,0.283790772774011
"27","rmlC","Eyach","1",2,232.777777766667,168.6666667,2.22702926220597,2.36694151784226,0.940889010319173,0.0442437469070307
"28","rmlC","Eyach","1",8,232.777777766667,84.66666667,1.92771246191737,2.36694151784226,0.8144318088918,-0.0822134545203429
"29","rmlC","Eyach","1",7,232.777777766667,92,1.96378782734556,2.36694151784226,0.829673151001962,-0.0669721124101802
"30","rmlC","Eyach","1",1,232.777777766667,217.6666667,2.33779192662192,2.36694151784226,0.987684701543909,0.0910394381317662
"31","rmlC","Eyach","1",6,232.777777766667,164,2.2148438480477,2.36694151784226,0.935740841652388,0.0390955782402458
"32","rmlC","Eyach","1",4,232.777777766667,303,2.4814426285023,2.36694151784226,1.04837513297093,0.151729869558792
"33","rmlC","Eyach","1",5,232.777777766667,207.6666667,2.31736679200922,2.36694151784226,0.979055365137101,0.0824101017249583
"34","tagG","Eyach","1",7,1214.00000033333,76,1.88081359228079,3.08421868685848,0.609818493187507,-0.286826770224636
"35","tagG","Eyach","1",2,1214.00000033333,254.6666667,2.40597210391287,3.08421868685848,0.78009128022097,-0.116553983191173
"36","tagG","Eyach","1",5,1214.00000033333,88.33333333,1.94612461920076,3.08421868685848,0.630994367388078,-0.265650896024065
"37","tagG","Eyach","1",8,1214.00000033333,75.33333333,1.87698718440852,3.08421868685848,0.608577852279463,-0.28806741113268
"38","tagG","Eyach","1",4,1214.00000033333,114.3333333,2.05817286519649,3.08421868685848,0.667323907337096,-0.229321356075046
"39","tagG","Eyach","1",1,1214.00000033333,71.66666667,1.85531720521614,3.08421868685848,0.601551768401328,-0.295093495010815
"40","tagG","Eyach","1",3,1214.00000033333,119,2.07554696139253,3.08421868685848,0.672957131813061,-0.223688131599082
"41","tagG","Eyach","1",6,1214.00000033333,75.33333333,1.87698718440852,3.08421868685848,0.608577852279463,-0.28806741113268
"42","wfgD","Eyach","1",5,1011.44444433333,1702,3.23095955574857,3.00494203324416,1.07521526871532,0.178570005303175
"43","wfgD","Eyach","1",7,1011.44444433333,78,1.89209460269048,3.00494203324416,0.629660932476545,-0.266984330935598
"44","wfgD","Eyach","1",4,1011.44444433333,594.6666667,2.77427359534479,3.00494203324416,0.923236975839318,0.0265917124271753
"45","wfgD","Eyach","1",1,1011.44444433333,6268.333333,3.79715208301566,3.00494203324416,1.26363571776332,0.366990454351181
"46","wfgD","Eyach","1",6,1011.44444433333,290.3333333,2.46289690023814,3.00494203324416,0.819615444488019,-0.077029818924124
"47","wfgD","Eyach","1",9,1011.44444433333,78.33333333,1.89394660753359,3.00494203324416,0.630277252133505,-0.266368011278638
"48","wfgD","Eyach","1",2,1011.44444433333,640,2.80617997398389,3.00494203324416,0.933854943935246,0.0372096805231039
"49","wfgD","Eyach","1",10,1011.44444433333,83,1.91907809237607,3.00494203324416,0.638640636373349,-0.258004627038793
"50","wfgD","Eyach","1",8,1011.44444433333,98.33333333,1.99270076124378,3.00494203324416,0.663141165186619,-0.233504098225523
"51","wfgD","Eyach","1",3,1011.44444433333,2432.666667,3.38608260436848,3.00494203324416,1.12683791131666,0.230192647904515
"52","wfgD","Eyach","1",11,1011.44444433333,209.6666667,2.32152939079465,3.00494203324416,0.772570440664479,-0.124074822747664
"53","WT","Eyach","1",5,226.333333333333,355.3333333,2.55063594993015,2.35474851956084,1.08318825927358,0.18654299586144
"54","WT","Eyach","1",10,226.333333333333,1044.666667,3.01897773755148,2.35474851956084,1.28208074555432,0.385435482142174
"55","WT","Eyach","1",7,226.333333333333,81.33333333,1.91026857160127,2.35474851956084,0.811241011824708,-0.0854042515874346
"56","WT","Eyach","1",6,226.333333333333,107,2.02938377768521,2.35474851956084,0.861826118936765,-0.0348191444753779
"57","WT","Eyach","1",9,226.333333333333,77.66666667,1.890234666325,2.35474851956084,0.802733137157901,-0.0939121262542413
"58","WT","Eyach","1",3,226.333333333333,112,2.04921802267018,2.35474851956084,0.870249203109112,-0.0263960603030304
"59","WT","Eyach","1",2,226.333333333333,1725,3.23678909940929,2.35474851956084,1.37457952410687,0.477934260694727
"60","WT","Eyach","1",8,226.333333333333,114,2.05690485133647,2.35474851956084,0.873513597842748,-0.0231316655693945
