file_name,Well,strain
Col0_R4_P1,A1,tagG
Col0_R4_P1,A2,rmlC
Col0_R4_P1,A3,WT
Col0_R4_P1,A4,tagH
Col0_R4_P1,A5,spsA
Col0_R4_P1,A6,OBC
Col0_R4_P1,B1,OBC
Col0_R4_P1,B2,rmlC
Col0_R4_P1,B3,wfgD
Col0_R4_P1,B4,WT
Col0_R4_P1,B6,buffer
Col0_R4_P1,C1,wfgD
Col0_R4_P1,C3,WT
Col0_R4_P1,C5,epsE
Col0_R4_P1,C6,spsA
Col0_R4_P1,D1,WT
Col0_R4_P1,D2,RmlC-FS
Col0_R4_P1,D3,epsE
Col0_R4_P1,D4,tagG
Col0_R4_P1,D5,WT
Col0_R4_P1,D6,epsE
Col0_R4_P3,A2,spsA
Col0_R4_P3,A3,tagG
Col0_R4_P3,A4,rmlC
Col0_R4_P3,A5,rmlC
Col0_R4_P3,A6,spsA
Col0_R4_P3,B1,tagG
Col0_R4_P3,B3,RmlC-FS
Col0_R4_P3,B4,wfgD
Col0_R4_P3,B5,epsE
Col0_R4_P3,B6,RmlC-FS
Col0_R4_P3,C2,wfgD
Col0_R4_P3,C3,RmlC-FS
Col0_R4_P3,C4,OBC
Col0_R4_P3,C5,tagH
Col0_R4_P3,C6,WT
Col0_R4_P3,D1,tagG
Col0_R4_P3,D2,epsE
Col0_R4_P3,D3,wfgD
Col0_R4_P3,D5,OBC
Col0_R4_P3,D6,rmlC
Col0_R4_P2,A1,OBC
Col0_R4_P2,A2,buffer
Col0_R4_P2,A3,buffer
Col0_R4_P2,A4,tagG
Col0_R4_P2,A5,wfgD
Col0_R4_P2,A6,tagH
Col0_R4_P2,B1,buffer
Col0_R4_P2,B2,tagH
Col0_R4_P2,B3,wfgD
Col0_R4_P2,B4,tagH
Col0_R4_P2,B5,spsA
Col0_R4_P2,B6,buffer
Col0_R4_P2,C1,spsA
Col0_R4_P2,C3,tagG
Col0_R4_P2,C4,WT
Col0_R4_P2,C5,tagH
Col0_R4_P2,C6,OBC
Col0_R4_P2,D1,tagH
Col0_R4_P2,D2,buffer
Col0_R4_P2,D3,buffer
Col0_R4_P2,D4,wfgD
Col0_R4_P2,D5,WT
Col0_R4_P2,D6,tagG
Col0_R3_P2,A1,buffer
Col0_R3_P2,A2,spsA
Eyach_R3_P2,A5,spsA
Eyach_R3_P2,A6,spsA
Col0_R3_P2,B1,tagH
Col0_R3_P2,B2,tagH
Eyach_R3_P2,B5,spsA
Eyach_R3_P2,B6,buffer
Col0_R3_P2,C1,tagH
Col0_R3_P2,C2,spsA
Eyach_R3_P2,C5,WT
Eyach_R3_P2,C6,WT
Col0_R3_P2,D1,spsA
Col0_R3_P2,D2,tagH
Eyach_R3_P2,D5,tagH
Eyach_R3_P2,D6,buffer
Col0_R4_P4,A1,RmlC-FS
Col0_R4_P4,A2,OBC
Col0_R4_P4,A3,tagH
Col0_R4_P4,A4,epsE
Col0_R4_P4,A5,rmlC
Col0_R4_P4,B1,RmlC-FS
Col0_R4_P4,B2,OBC
Col0_R4_P4,B3,RmlC-FS
Col0_R4_P4,B4,rmlC
Col0_R4_P4,B5,epsE
Col0_R4_P4,B6,rmlC
Col0_R4_P4,C3,epsE
Col0_R4_P4,C5,RmlC-FS
Col0_R4_P4,D2,spsA
Col0_R4_P4,D3,spsA
Col0_R4_P4,D4,buffer
Eyach_R3_P1,A1,WT
Eyach_R3_P1,A2,buffer
Eyach_R3_P1,A3,buffer
Eyach_R3_P1,A4,spsA
Eyach_R3_P1,A5,tagH
Eyach_R3_P1,A6,tagH
Eyach_R3_P1,B1,buffer
Eyach_R3_P1,B2,WT
Eyach_R3_P1,B3,spsA
Eyach_R3_P1,B4,buffer
Eyach_R3_P1,B5,WT
Eyach_R3_P1,B6,buffer
Eyach_R3_P1,C1,tagH
Eyach_R3_P1,C2,WT
Eyach_R3_P1,C3,tagH
Eyach_R3_P1,C4,spsA
Eyach_R3_P1,C5,buffer
Eyach_R3_P1,C6,spsA
Eyach_R3_P1,D1,WT
Eyach_R3_P1,D2,tagH
Eyach_R3_P1,D3,spsA
Eyach_R3_P1,D4,tagH
Eyach_R3_P1,D5,WT
Eyach_R3_P1,D6,tagH
Eyach_R1_P4,A1,OBC
Eyach_R1_P4,A2,rmlC
Eyach_R1_P4,A3,epsE
Eyach_R1_P4,B1,RmlC-FS
Eyach_R1_P4,B2,rmlC
Eyach_R1_P4,B3,epsE
Eyach_R1_P4,C1,RmlC-FS
Eyach_R1_P4,C2,tagG
Eyach_R1_P4,C3,epsE
Eyach_R1_P4,D1,rmlC
Eyach_R1_P4,D2,tagG
Col0_R2_P2,A1,WT
Col0_R2_P2,A2,wfgD
Col0_R2_P2,A3,buffer
Col0_R2_P2,A4,RmlC-FS
Col0_R2_P2,A5,WT
Col0_R2_P2,A6,epsE
Col0_R2_P2,B1,rmlC
Col0_R2_P2,B2,buffer
Col0_R2_P2,B3,OBC
Col0_R2_P2,B4,OBC
