Row,Column,Well,Target,Ref,Sample,HPI,Treatment,Name,Replicate
A,01,A01,FRK1,FALSE,01,0,WT,0hpi-WT,1
A,02,A02,FRK1,FALSE,09,10,wfgD,10hpi-wfgD,1
A,03,A03,FRK1,FALSE,18,0,wfgD,0hpi-wfgD,1
A,04,A04,FRK1,FALSE,26,48,OBC,48hpi-OBC,1
A,05,A05,FRK1,FALSE,01,0,WT,0hpi-WT,2
A,06,A06,FRK1,FALSE,35,06,tagG,6hpi-tagG,1
A,07,A07,FRK1,FALSE,09,10,wfgD,10hpi-wfgD,2
A,08,A08,FRK1,FALSE,18,0,wfgD,0hpi-wfgD,2
A,09,A09,FRK1,FALSE,26,48,OBC,48hpi-OBC,2
A,10,A10,FRK1,FALSE,35,06,tagG,6hpi-tagG,2
A,11,A11,FRK1,FALSE,01,0,WT,0hpi-WT,3
A,12,A12,FRK1,FALSE,09,10,wfgD,10hpi-wfgD,3
A,13,A13,FRK1,FALSE,18,0,wfgD,0hpi-wfgD,3
A,14,A14,FRK1,FALSE,26,48,OBC,48hpi-OBC,3
A,15,A15,FRK1,FALSE,35,06,tagG,6hpi-tagG,3
A,16,A16,PP2A,TRUE,01,0,WT,0hpi-WT,1
A,17,A17,PP2A,TRUE,09,10,wfgD,10hpi-wfgD,1
A,18,A18,PP2A,TRUE,18,0,wfgD,0hpi-wfgD,1
A,19,A19,PP2A,TRUE,26,48,OBC,48hpi-OBC,1
A,20,A20,PP2A,TRUE,35,06,tagG,6hpi-tagG,1
A,21,A21,PP2A,TRUE,01,0,WT,0hpi-WT,3
A,22,A22,PP2A,TRUE,09,10,wfgD,10hpi-wfgD,3
A,23,A23,PP2A,TRUE,18,0,wfgD,0hpi-wfgD,3
A,24,A24,PP2A,TRUE,26,48,OBC,48hpi-OBC,3
B,01,B01,WRKY29,FALSE,01,0,WT,0hpi-WT,1
B,02,B02,WRKY29,FALSE,09,10,wfgD,10hpi-wfgD,1
B,03,B03,WRKY29,FALSE,18,0,wfgD,0hpi-wfgD,1
B,04,B04,WRKY29,FALSE,26,48,OBC,48hpi-OBC,1
B,05,B05,WRKY29,FALSE,01,0,WT,0hpi-WT,2
B,06,B06,WRKY29,FALSE,35,06,tagG,6hpi-tagG,1
B,07,B07,WRKY29,FALSE,09,10,wfgD,10hpi-wfgD,2
B,08,B08,WRKY29,FALSE,18,0,wfgD,0hpi-wfgD,2
B,09,B09,WRKY29,FALSE,26,48,OBC,48hpi-OBC,2
B,10,B10,WRKY29,FALSE,35,06,tagG,6hpi-tagG,2
B,11,B11,WRKY29,FALSE,01,0,WT,0hpi-WT,3
B,12,B12,WRKY29,FALSE,09,10,wfgD,10hpi-wfgD,3
B,13,B13,WRKY29,FALSE,18,0,wfgD,0hpi-wfgD,3
B,14,B14,WRKY29,FALSE,26,48,OBC,48hpi-OBC,3
B,15,B15,WRKY29,FALSE,35,06,tagG,6hpi-tagG,3
B,16,B16,PP2A,TRUE,01,0,WT,0hpi-WT,2
B,17,B17,PP2A,TRUE,09,10,wfgD,10hpi-wfgD,2
B,18,B18,PP2A,TRUE,18,0,wfgD,0hpi-wfgD,2
B,19,B19,PP2A,TRUE,26,48,OBC,48hpi-OBC,2
B,20,B20,PP2A,TRUE,35,06,tagG,6hpi-tagG,2
B,21,B21,PP2A,TRUE,35,06,tagG,6hpi-tagG,3
B,22,B22,FRK1,FALSE,43,48,wfgD,48hpi-wfgD,1
B,23,B23,FRK1,FALSE,43,48,wfgD,48hpi-wfgD,2
