HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
0,Mock,FRK1,0hpi-Mock,16,3,"M02,M07,M12",1,0.5425499098413676,0.7203881084882116
0,Mock,WRKY29,0hpi-Mock,16,3,"N02,N07,N12",0.9999999999999999,0.26731111404633767,0.306446837072249
0,OBC,FRK1,0hpi-OBC,31,3,"I04,I09,I14",0.48358269858712594,0.23972843494650428,0.13100447303953994
0,OBC,WRKY29,0hpi-OBC,31,3,"J04,J09,J14",0.8656955358414211,0.8662238032268063,1.1928543494667534
0,WT,FRK1,0hpi-WT,01,3,"A01,A05,A11",0.17220851408934854,0.3702594270128908,0.07716839941418865
0,WT,WRKY29,0hpi-WT,01,3,"B01,B05,B11",0.28298845930020017,0.3490447724254383,0.1182078630331754
0,rmlC,FRK1,0hpi-rmlC,17,3,"O02,O07,O12",0.08894746669024693,0.7000742974926153,0.09018404370754757
0,rmlC,WRKY29,0hpi-rmlC,17,3,"P02,P07,P12",0.28177846325846007,0.5809058497811748,0.22194479207331066
0,tagG,FRK1,0hpi-tagG,32,3,"K04,K09,K14",0.6693900086434654,0.2510368480669533,0.1910154235093842
0,tagG,WRKY29,0hpi-tagG,32,3,"L04,L09,L14",1.4570281066110382,0.3054518060947289,0.5205059130175387
0,wfgD,FRK1,0hpi-wfgD,18,2,"A03,A13",1.2628888908878968,0.44683788049863826,0.7114621305642006
0,wfgD,WRKY29,0hpi-wfgD,18,3,"B03,B08,B13",0.974881596702649,0.16278005364391157,0.17233745631689912
2,Mock,FRK1,2hpi-Mock,19,3,"C03,C08,C13",0.9999999999999999,0.25468117407552027,0.2900502538343323
2,Mock,WRKY29,2hpi-Mock,19,3,"D03,D08,D13",0.9999999999999999,0.4522068051875461,0.5717769665991422
2,OBC,FRK1,2hpi-OBC,33,3,"M04,M09,M14",1.9516709846696674,0.5336334998013338,1.3761556233631096
2,OBC,WRKY29,2hpi-OBC,33,3,"N04,N09,N14",1.258536107474452,0.7297736658727852,1.3524367440605474
2,WT,FRK1,2hpi-WT,02,3,"C01,C05,C11",4.30084126539519,0.17988328475855253,0.8475996369751628
2,WT,WRKY29,2hpi-WT,02,3,"D01,D05,D11",1.0061677888099432,0.4762732713201035,0.6138256792453333
2,rmlC,FRK1,2hpi-rmlC,34,3,"O04,O09,O14",8.025562357789337,0.4287777381424658,4.296723489408803
2,rmlC,WRKY29,2hpi-rmlC,34,3,"P04,P09,P14",5.745013257084603,0.3987351347047795,2.814705666539918
2,tagG,FRK1,2hpi-tagG,20,3,"E03,E08,E13",0.559456945295978,0.3452673452195179,0.2307018388884383
2,tagG,WRKY29,2hpi-tagG,20,3,"F03,F08,F13",0.2599053160975972,0.3265331231343074,0.10036351973795006
2,wfgD,FRK1,2hpi-wfgD,21,3,"G03,G08,G13",0.5272358089281346,0.04822823282920863,0.026050793992956272
2,wfgD,WRKY29,2hpi-wfgD,21,3,"H03,H08,H13",0.3069173980859905,0.5489005534319961,0.22446356212974614
6,Mock,FRK1,6hpi-Mock,03,3,"E01,E05,E11",1,0.6687472187423884,0.9517906216570335
6,Mock,WRKY29,6hpi-Mock,03,3,"F01,F05,F11",1,0.3345104722076387,0.39725622202394906
6,OBC,FRK1,6hpi-OBC,05,3,"I01,I05,I11",4.209642810796748,0.4855231809290113,2.6311318654510787
6,OBC,WRKY29,6hpi-OBC,05,3,"J01,J05,J11",0.6243498833858185,0.6557181795835424,0.5784761578208293
6,WT,FRK1,6hpi-WT,04,3,"G01,G05,G11",7.823094091954655,0.05926385919678191,0.4776403629673279
6,WT,WRKY29,6hpi-WT,04,3,"H01,H05,H11",1.5508021409603638,0.2847473051450462,0.5108746182791657
6,rmlC,FRK1,6hpi-rmlC,37,3,"E06,E10,E15",10.86206231682377,0.3900583991768613,5.181932035786898
6,rmlC,WRKY29,6hpi-rmlC,37,3,"F06,F10,F15",4.380840831220755,0.17928721735220965,0.8602407932461423
6,tagG,FRK1,6hpi-tagG,35,3,"A06,A10,A15",3.7540595717547025,0.6647648859900347,3.5439576142428364
6,tagG,WRKY29,6hpi-tagG,35,2,"B10,B15",4.9728955445995044,0.9151829171922966,7.445578326097331
6,wfgD,FRK1,6hpi-wfgD,36,2,"C06,C15",41.2438695293129,0.8839400766742949,58.58351711430138
6,wfgD,WRKY29,6hpi-wfgD,36,3,"D06,D10,D15",3.5993492611867297,0.36801715631729737,1.60123108636664
10,Mock,FRK1,10hpi-Mock,06,2,"K01,K05",1,0.3157501563299087,0.3712876052952594
10,Mock,WRKY29,10hpi-Mock,06,2,"L01,L11",1,0.5785509619210456,0.7834522672306661
10,OBC,FRK1,10hpi-OBC,22,3,"I03,I08,I13",0.5090878212826622,0.07388073508283242,0.039036033425177585
10,OBC,WRKY29,10hpi-OBC,22,3,"J03,J08,J13",0.7111450318281408,0.05998506020514345,0.043963471610736674
10,WT,FRK1,10hpi-WT,07,2,"M01,M05",0.8608853521567705,0.6358221871351595,0.7649605688419671
10,WT,WRKY29,10hpi-WT,07,3,"N01,N05,N11",0.6498007924845386,0.528617194650712,0.4526412507750552
10,rmlC,FRK1,10hpi-rmlC,08,3,"O01,O05,O11",0.5971142579260256,0.23629307331488075,0.15915808646150326
10,rmlC,WRKY29,10hpi-rmlC,08,3,"P01,P05,P11",1.3008831774061922,0.052317242861849834,0.0698703983333541
10,tagG,FRK1,10hpi-tagG,38,3,"G06,G10,G15",0.44693598272403,0.26315078796353586,0.13453795792553702
10,tagG,WRKY29,10hpi-tagG,38,3,"H06,H10,H15",1.898072472136127,0.7080793431694313,1.9551824523441172
10,wfgD,FRK1,10hpi-wfgD,09,2,"A02,A07",0.2602534932232956,0.462031492491512,0.15284565085987448
10,wfgD,WRKY29,10hpi-wfgD,09,3,"B02,B07,B12",1.6417047282260575,0.5727452742663216,1.2692480554348389
24,Mock,FRK1,24hpi-Mock,10,3,"C02,C07,C12",1,0.4325955766628447,0.5412527760502568
24,Mock,WRKY29,24hpi-Mock,10,3,"D02,D07,D12",1,0.39184497658892875,0.4797083041922974
24,OBC,FRK1,24hpi-OBC,23,2,"K08,K13",2.4692417497819092,0.31546020296266364,0.9158172046197401
24,OBC,WRKY29,24hpi-OBC,23,3,"L03,L08,L13",0.5086743058404508,0.18051033450428494,0.10063027510640205
24,WT,FRK1,24hpi-WT,39,3,"I06,I10,I15",1.088232725434849,0.12347435182296049,0.14301661699515608
24,WT,WRKY29,24hpi-WT,39,3,"J06,J10,J15",2.689080499217736,0.8721280711487027,3.7431887023339074
