Well,Sample,Name,Replicate,Target,HPI,Treatment,Cq,Eff,NE_ref_mean,NE_target,NE_baseline,NE_fc
A01,01,0hpi-WT,1,FRK1,0,WT,28.93,2.0156183693503076,1.556793612364204e-8,0.10028514777206773,0.278147807355142,0.3605462459893585
A02,09,10hpi-wfgD,1,FRK1,10,wfgD,25.38,2.1888071746665583,1.0075844663504967e-8,0.2302778122852832,1.404472548587301,0.16396035117732263
A03,18,0hpi-wfgD,1,FRK1,0,wfgD,26.79,2.0495465330220974,8.146817425061868e-9,0.5491614075662858,0.278147807355142,1.9743510214520976
A04,26,48hpi-OBC,1,FRK1,48,OBC,26.56,2.223696463179602,3.3670984720182927e-8,0.017964650027594346,0.7500473443213371,0.023951354755944426
A05,01,0hpi-WT,2,FRK1,0,WT,28.84,2.096107438760485,1.556793612364204e-8,0.0345304698607065,0.278147807355142,0.12414431804820104
A06,35,6hpi-tagG,1,FRK1,06,tagG,24.58,2.1988023039083484,1.2243006614912235e-8,0.3170848768625651,0.15577573890514648,2.035521571530734
A07,09,10hpi-wfgD,2,FRK1,10,wfgD,25.58,2.098258121088462,1.0075844663504967e-8,0.5801864077097225,1.404472548587301,0.41309914408317006
A09,26,48hpi-OBC,2,FRK1,48,OBC,26.15,1.9944730560677302,3.3670984720182927e-8,0.4287828837956321,0.7500473443213371,0.571674424343981
A10,35,6hpi-tagG,2,FRK1,06,tagG,24.29,2.049182296608254,1.2243006614912235e-8,2.207086007350791,0.15577573890514648,14.168355244937784
A11,01,0hpi-WT,3,FRK1,0,WT,28.58,2.11650802262494,1.556793612364204e-8,0.031735962464212626,0.278147807355142,0.11409747488568846
A13,18,0hpi-wfgD,3,FRK1,0,wfgD,26.56,2.132895216695738,8.146817425061868e-9,0.22468886885423195,0.278147807355142,0.8078038471370974
A14,26,48hpi-OBC,3,FRK1,48,OBC,26.02,2.041138153563006,3.3670984720182927e-8,0.2569592848383647,0.7500473443213371,0.342590753482193
A15,35,6hpi-tagG,3,FRK1,06,tagG,24.23,2.2335369380251255,1.2243006614912235e-8,0.2857644191414393,0.15577573890514648,1.8344603668703785
B01,01,0hpi-WT,1,WRKY29,0,WT,27.98,2.006608676659887,1.556793612364204e-8,0.22123967392719998,0.5249638019540435,0.42143796030067576
B02,09,10hpi-wfgD,1,WRKY29,10,wfgD,26.31,1.9481607883731398,1.0075844663504967e-8,2.3806201520040084,0.49095025781549406,4.849004790417441
B03,18,0hpi-wfgD,1,WRKY29,0,wfgD,26.14,2.115114266505414,8.146817425061868e-9,0.3844019484946927,0.5249638019540435,0.7322446748973068
B04,26,48hpi-OBC,1,WRKY29,48,OBC,26.94,2.0389703144151756,3.3670984720182927e-8,0.137155888736118,0.32735222594664687,0.41898566090237066
B05,01,0hpi-WT,2,WRKY29,0,WT,27.59,2.1084223223186256,1.556793612364204e-8,0.07409324613368726,0.5249638019540435,0.14113972403029332
B07,09,10hpi-wfgD,2,WRKY29,10,wfgD,26.85,2.066820270692007,1.0075844663504967e-8,0.3395007288330052,0.49095025781549406,0.6915175690988115
B08,18,0hpi-wfgD,2,WRKY29,0,wfgD,25.83,2.10998658902006,8.146817425061868e-9,0.5162588335472512,0.5249638019540435,0.9834179644874746
B09,26,48hpi-OBC,2,WRKY29,48,OBC,26.55,2.0257739816003784,3.3670984720182927e-8,0.21515598295298363,0.32735222594664687,0.6572614019372839
B10,35,6hpi-tagG,2,WRKY29,06,tagG,26.51,1.999776111824816,1.2243006614912235e-8,0.8572265857596248,0.43047227500840274,1.9913630575694845
B11,01,0hpi-WT,3,WRKY29,0,WT,27.55,2.03598105680725,1.556793612364204e-8,0.20001041785062512,0.5249638019540435,0.3809984938125972
B12,09,10hpi-wfgD,3,WRKY29,10,wfgD,26.93,2.0134714607589568,1.0075844663504967e-8,0.6478385803102554,0.49095025781549406,1.3195605257299248
B13,18,0hpi-wfgD,3,WRKY29,0,wfgD,26.19,2.067118911070341,8.146817425061868e-9,0.675445970421068,0.5249638019540435,1.286652466145081
B14,26,48hpi-OBC,3,WRKY29,48,OBC,27.02,2.019317172144899,3.3670984720182927e-8,0.1683129577681377,0.32735222594664687,0.5141646960896793
B15,35,6hpi-tagG,3,WRKY29,06,tagG,26.27,1.8770315981793662,1.2243006614912235e-8,5.345808699251274,0.43047227500840274,12.41847387069684
B22,43,48hpi-wfgD,1,FRK1,48,wfgD,27.13,2.0994154389098614,1.5254498226646474e-8,0.1196941275977519,0.7500473443213371,0.15958209638893442
B24,43,48hpi-wfgD,3,FRK1,48,wfgD,26.74,2.0937879475045205,1.5254498226646474e-8,0.17173617841155736,0.7500473443213371,0.22896711749169493
C01,02,2hpi-WT,1,FRK1,02,WT,24.03,2.0226175219036864,1.0240321293410604e-8,4.350895365492805,0.9551262539674756,4.555309151454823
C02,10,24hpi-Mock,1,FRK1,24,Mock,26.11,2.010905108743278,1.8440363724392716e-8,0.6496454930294955,0.402089824824519,1.615672551059991
C03,19,2hpi-Mock,1,FRK1,02,Mock,25,2.0261071412777034,1.3952599831321362e-8,1.5444885015175893,0.9551262539674756,1.61705166736018
C05,02,2hpi-WT,2,FRK1,02,WT,24.17,1.9960191658609936,1.0240321293410604e-8,5.428820056212305,0.9551262539674756,5.683876904923995
C06,36,6hpi-wfgD,1,FRK1,06,wfgD,23.36,2.145981793544297,6.74911673743266e-9,2.654415634425653,0.15577573890514648,17.039981020677136
C07,10,24hpi-Mock,2,FRK1,24,Mock,26.21,2.012918827728852,1.8440363724392716e-8,0.5901252387650351,0.402089824824519,1.4676452929953623
C08,19,2hpi-Mock,2,FRK1,02,Mock,24.69,2.1172089917175994,1.3952599831321362e-8,0.6489905509563655,0.9551262539674756,0.6794814279897966
C09,27,48hpi-tagG,2,FRK1,48,tagG,26.04,1.9750337195747103,7.896607264890501e-8,0.25456523781621515,0.7500473443213371,0.3393988922746638
C11,02,2hpi-WT,3,FRK1,02,WT,23.75,2.073581813775707,1.0240321293410604e-8,2.93466481232671,0.9551262539674756,3.0725412479622225
C12,10,24hpi-Mock,3,FRK1,24,Mock,26.79,2.0771353460621538,1.8440363724392716e-8,0.16956984778278836,0.402089824824519,0.42172131029874343
C13,19,2hpi-Mock,3,FRK1,02,Mock,24.94,2.0768694818674973,1.3952599831321362e-8,0.8692792150402593,0.9551262539674756,0.9101196950972519
C14,27,48hpi-tagG,3,FRK1,48,tagG,25.81,2.076656215803347,7.896607264890501e-8,0.08154155164396969,0.7500473443213371,0.10871520612842202
C15,36,6hpi-wfgD,3,FRK1,06,wfgD,23.17,2.000822727393369,6.74911673743266e-9,15.550684917378772,0.15577573890514648,99.82738664361433
