HPI,Treatment,Name,Target,Baseline,n_replicates,Samples,mean_log_MNE_fc,MNE_fc_global,se_log_MNE_fc,se_MNE_fc_global
0,Mock,0hpi-Mock,FRK1,Mock,3,"16,61,113",0,1,0,0
0,Mock,0hpi-Mock,FRK1,Time0,3,"16,61,113",0,1,0,0
0,Mock,0hpi-Mock,NHL10,Mock,3,"16,113,61",0,1,0,0
0,Mock,0hpi-Mock,NHL10,Time0,3,"16,113,61",0,1,0,0
0,Mock,0hpi-Mock,PAD3,Mock,3,"16,113,61",0,1,0,0
0,Mock,0hpi-Mock,PAD3,Time0,3,"16,113,61",0,1,0,0
0,Mock,0hpi-Mock,PDF1.2,Mock,3,"16,61,113",0,1,0,0
0,Mock,0hpi-Mock,PDF1.2,Time0,3,"16,61,113",0,1,0,0
0,Mock,0hpi-Mock,PR1,Mock,1,16,0,1,NA,NA
0,Mock,0hpi-Mock,PR1,Time0,1,16,0,1,NA,NA
0,Mock,0hpi-Mock,WRKY29,Mock,3,"16,61,113",0,1,0,0
0,Mock,0hpi-Mock,WRKY29,Time0,3,"16,61,113",0,1,0,0
0,OBC,0hpi-OBC,FRK1,Mock,3,"31,64,119",-0.6611530830527758,0.5162557054479661,0.7315514844301304,0.5566798496704014
0,OBC,0hpi-OBC,FRK1,Time0,3,"31,64,119",0,1,0,0
0,OBC,0hpi-OBC,NHL10,Mock,3,"31,119,64",-0.42452395074130206,0.6540810858427752,0.06638599127479283,0.044895552067629636
0,OBC,0hpi-OBC,NHL10,Time0,3,"31,119,64",0,1,0,0
0,OBC,0hpi-OBC,PAD3,Mock,3,"31,119,64",-0.49728821122768235,0.6081776749150575,0.4440058630952735,0.3399346020409941
0,OBC,0hpi-OBC,PAD3,Time0,3,"31,119,64",0,1,0,0
0,OBC,0hpi-OBC,PDF1.2,Mock,3,"31,64,119",1.4094323319127957,4.0936309207316,0.21127117792240419,0.9630155453145219
0,OBC,0hpi-OBC,PDF1.2,Time0,3,"31,64,119",0,1,0,0
0,OBC,0hpi-OBC,PR1,Mock,1,31,-6.931023905921491,9.77e-4,NA,NA
0,OBC,0hpi-OBC,PR1,Time0,1,31,0,1,NA,NA
0,OBC,0hpi-OBC,WRKY29,Mock,3,"31,64,119",0.18165597049861643,1.1992015621897023,0.49052537228463355,0.7593032726858985
0,OBC,0hpi-OBC,WRKY29,Time0,3,"31,64,119",0,1,0,0
0,WT,0hpi-WT,FRK1,Mock,3,"1,49,94",-0.7007378979089167,0.4962190096945875,0.9459306166503845,0.7816485488091321
0,WT,0hpi-WT,FRK1,Time0,3,"1,49,94",0,1,0,0
0,WT,0hpi-WT,NHL10,Mock,3,"1,94,49",-0.19795620185487586,0.8204057846025742,0.44239412529632977,0.45649760939314127
0,WT,0hpi-WT,NHL10,Time0,3,"1,94,49",0,1,0,0
0,WT,0hpi-WT,PAD3,Mock,3,"1,94,49",-0.6642236706113912,0.5146729283731523,1.4614076778585496,1.7046097087806462
0,WT,0hpi-WT,PAD3,Time0,3,"1,94,49",0,1,0,0
