"Dataset","Comparison","Test","Statistic","p_value"
"Eyach2","WT_10^6 vs wfgD_10^6","t-test",4.36890120672072,0.00140150105338471
"Eyach2","WT_10^7 vs wfgD_10^7","Wilcoxon rank-sum",33,0.0151515151515152
"Eyach2","WT_10^8 vs wfgD_10^8","t-test",5.23863449957307,0.00037954401903522
"Eyach5","WT_10^6 vs wfgD_10^6","Wilcoxon rank-sum",36,0.00426672482217613
"Eyach5","WT_10^7 vs wfgD_10^7","Wilcoxon rank-sum",34,0.0129065704196534
"Eyach5","WT_10^8 vs wfgD_10^8","t-test",5.08468768285831,0.000474522463359133
"Col2","WT_10^6 vs wfgD_10^6","Welch t-test",2.4280158362435,0.0517318180630849
"Col2","WT_10^7 vs wfgD_10^7","Welch t-test",6.90954694996668,0.000497624697387
"Col2","WT_10^8 vs wfgD_10^8","t-test",7.68878019005074,1.66398694220579e-05
"Col5","WT_10^6 vs wfgD_10^6","t-test",6.85816222892799,4.41416418029832e-05
"Col5","WT_10^7 vs wfgD_10^7","t-test",3.84939554156308,0.00321539187179825
"Col5","WT_10^8 vs wfgD_10^8","t-test",5.58485567409942,0.000232530932037743
