STRAIN,COMPOUND,DISK NUMBER,QUANTITY (ug),BIOREPLICATE,MEANAREA
epsE,PMB,1,0,1,0
rmlC,PMB,1,0,1,0
spsA,PMB,1,0,1,0
tagG,PMB,1,0,1,0
tagH,PMB,1,0,1,0
wfgD,PMB,1,0,1,0
WT,PMB,1,0,1,0
epsE,PME,1,0,1,0
rmlC,PME,1,0,1,0
spsA,PME,1,0,1,0
tagG,PME,1,0,1,0
tagH,PME,1,0,1,0
wfgD,PME,1,0,1,0
WT,PME,1,0,1,0
epsE,PMB,2,0.025,1,0
rmlC,PMB,2,0.025,1,0
spsA,PMB,2,0.025,1,0
tagG,PMB,2,0.025,1,0
tagH,PMB,2,0.025,1,0
wfgD,PMB,2,0.025,1,0
WT,PMB,2,0.025,1,0
epsE,PMB,3,0.05,1,0
rmlC,PMB,3,0.05,1,0
spsA,PMB,3,0.05,1,0
tagG,PMB,3,0.05,1,0
tagH,PMB,3,0.05,1,0
wfgD,PMB,3,0.05,1,0
WT,PMB,3,0.05,1,0
epsE,PME,2,0.1,1,0
rmlC,PME,2,0.1,1,0
spsA,PME,2,0.1,1,0
tagG,PME,2,0.1,1,0
tagH,PME,2,0.1,1,0
wfgD,PME,2,0.1,1,0
WT,PME,2,0.1,1,0
epsE,PMB,4,0.1,1,0.333333333
rmlC,PMB,4,0.1,1,0.333333333
spsA,PMB,4,0.1,1,0.333333333
tagG,PMB,4,0.1,1,0.333333333
tagH,PMB,4,0.1,1,1
wfgD,PMB,4,0.1,1,0.333333333
WT,PMB,4,0.1,1,0.666666667
epsE,PME,3,0.25,1,0
rmlC,PME,3,0.25,1,0
spsA,PME,3,0.25,1,0
tagG,PME,3,0.25,1,0
tagH,PME,3,0.25,1,0
wfgD,PME,3,0.25,1,0
WT,PME,3,0.25,1,0
epsE,PMB,5,0.25,1,3
rmlC,PMB,5,0.25,1,3
spsA,PMB,5,0.25,1,2.666666667
tagG,PMB,5,0.25,1,3
tagH,PMB,5,0.25,1,3
wfgD,PMB,5,0.25,1,2.666666667
WT,PMB,5,0.25,1,3
epsE,PME,4,0.5,1,0
rmlC,PME,4,0.5,1,0
spsA,PME,4,0.5,1,0
tagG,PME,4,0.5,1,0
tagH,PME,4,0.5,1,0.333333333
wfgD,PME,4,0.5,1,0
WT,PME,4,0.5,1,0
epsE,PMB,6,0.5,1,4
rmlC,PMB,6,0.5,1,4
spsA,PMB,6,0.5,1,4.666666667
tagG,PMB,6,0.5,1,4
tagH,PMB,6,0.5,1,4.333333333
wfgD,PMB,6,0.5,1,4
WT,PMB,6,0.5,1,4
epsE,PME,5,1,1,1
rmlC,PME,5,1,1,1
spsA,PME,5,1,1,1
tagG,PME,5,1,1,1
tagH,PME,5,1,1,1.333333333
wfgD,PME,5,1,1,1
WT,PME,5,1,1,1
epsE,PMB,7,1,1,5.333333333
rmlC,PMB,7,1,1,5
spsA,PMB,7,1,1,6
tagG,PMB,7,1,1,5
tagH,PMB,7,1,1,6.333333333
wfgD,PMB,7,1,1,5
WT,PMB,7,1,1,5
epsE,PMB (kana),9,1,1,17.66666667
rmlC,PMB (kana),9,1,1,17
spsA,PMB (kana),9,1,1,17.66666667
tagG,PMB (kana),9,1,1,16
tagH,PMB (kana),9,1,1,17.66666667
wfgD,PMB (kana),9,1,1,16.33333333
WT,PMB (kana),9,1,1,17.33333333
epsE,PME (kana),9,1,1,16.33333333
rmlC,PME (kana),9,1,1,17
spsA,PME (kana),9,1,1,17
tagG,PME (kana),9,1,1,15
tagH,PME (kana),9,1,1,17
wfgD,PME (kana),9,1,1,15.66666667
WT,PME (kana),9,1,1,16
epsE,PME,6,2.5,1,3.333333333
rmlC,PME,6,2.5,1,3
spsA,PME,6,2.5,1,3
tagG,PME,6,2.5,1,3
tagH,PME,6,2.5,1,3.666666667
wfgD,PME,6,2.5,1,3
WT,PME,6,2.5,1,3
epsE,PMB,8,2.5,1,7
rmlC,PMB,8,2.5,1,7
spsA,PMB,8,2.5,1,7.333333333
tagG,PMB,8,2.5,1,6.333333333
tagH,PMB,8,2.5,1,7.333333333
wfgD,PMB,8,2.5,1,6
WT,PMB,8,2.5,1,7
epsE,PME,7,5,1,4.333333333
rmlC,PME,7,5,1,4.333333333
spsA,PME,7,5,1,4.5
tagG,PME,7,5,1,4.666666667
tagH,PME,7,5,1,4.666666667
wfgD,PME,7,5,1,4
WT,PME,7,5,1,4.333333333
epsE,PME,8,10,1,6
rmlC,PME,8,10,1,5.333333333
spsA,PME,8,10,1,5.666666667
tagG,PME,8,10,1,5.333333333
tagH,PME,8,10,1,6
wfgD,PME,8,10,1,5
WT,PME,8,10,1,5.666666667
epsE,PMB,1,0,2,0
rmlC,PMB,1,0,2,0
spsA,PMB,1,0,2,0
tagG,PMB,1,0,2,0
tagH,PMB,1,0,2,0
wfgD,PMB,1,0,2,0
WT,PMB,1,0,2,0
epsE,PME,1,0,2,0
rmlC,PME,1,0,2,0
spsA,PME,1,0,2,0
tagG,PME,1,0,2,0
tagH,PME,1,0,2,0
wfgD,PME,1,0,2,0
WT,PME,1,0,2,0
epsE,PMB,2,0.025,2,0
rmlC,PMB,2,0.025,2,0
spsA,PMB,2,0.025,2,0
tagG,PMB,2,0.025,2,0
tagH,PMB,2,0.025,2,0
wfgD,PMB,2,0.025,2,0
WT,PMB,2,0.025,2,0
epsE,PMB,3,0.05,2,0
rmlC,PMB,3,0.05,2,0
spsA,PMB,3,0.05,2,0
tagG,PMB,3,0.05,2,0
tagH,PMB,3,0.05,2,0
wfgD,PMB,3,0.05,2,0
WT,PMB,3,0.05,2,0
epsE,PME,2,0.1,2,0
rmlC,PME,2,0.1,2,0
spsA,PME,2,0.1,2,0
tagG,PME,2,0.1,2,0
tagH,PME,2,0.1,2,0
wfgD,PME,2,0.1,2,0
WT,PME,2,0.1,2,0
epsE,PMB,4,0.1,2,0
rmlC,PMB,4,0.1,2,0
spsA,PMB,4,0.1,2,0.666666667
tagG,PMB,4,0.1,2,0.333333333
tagH,PMB,4,0.1,2,0.666666667
wfgD,PMB,4,0.1,2,0
WT,PMB,4,0.1,2,0
epsE,PME,3,0.25,2,0
rmlC,PME,3,0.25,2,0
spsA,PME,3,0.25,2,0
tagG,PME,3,0.25,2,0
tagH,PME,3,0.25,2,0
wfgD,PME,3,0.25,2,0
WT,PME,3,0.25,2,0
epsE,PMB,5,0.25,2,2
rmlC,PMB,5,0.25,2,2
spsA,PMB,5,0.25,2,2
tagG,PMB,5,0.25,2,2
tagH,PMB,5,0.25,2,3
wfgD,PMB,5,0.25,2,2
WT,PMB,5,0.25,2,2
epsE,PME,4,0.5,2,0
rmlC,PME,4,0.5,2,0
spsA,PME,4,0.5,2,0
tagG,PME,4,0.5,2,0
tagH,PME,4,0.5,2,0
wfgD,PME,4,0.5,2,0
WT,PME,4,0.5,2,0
epsE,PMB,6,0.5,2,3
rmlC,PMB,6,0.5,2,3
spsA,PMB,6,0.5,2,3.666666667
tagG,PMB,6,0.5,2,3.666666667
tagH,PMB,6,0.5,2,4
wfgD,PMB,6,0.5,2,3
WT,PMB,6,0.5,2,3
epsE,PME,5,1,2,0.333333333
rmlC,PME,5,1,2,0.666666667
spsA,PME,5,1,2,0.666666667
tagG,PME,5,1,2,1
tagH,PME,5,1,2,1.333333333
wfgD,PME,5,1,2,0.666666667
WT,PME,5,1,2,0.666666667
epsE,PMB,7,1,2,4.333333333
rmlC,PMB,7,1,2,4
spsA,PMB,7,1,2,4.666666667
tagG,PMB,7,1,2,4.666666667
tagH,PMB,7,1,2,5
wfgD,PMB,7,1,2,4
WT,PMB,7,1,2,4
epsE,PMB (kana),9,1,2,16.66666667
rmlC,PMB (kana),9,1,2,16
spsA,PMB (kana),9,1,2,17.33333333
tagG,PMB (kana),9,1,2,16
tagH,PMB (kana),9,1,2,18.33333333
wfgD,PMB (kana),9,1,2,16.33333333
WT,PMB (kana),9,1,2,16.33333333
epsE,PME (kana),9,1,2,16
rmlC,PME (kana),9,1,2,16
spsA,PME (kana),9,1,2,17.33333333
tagG,PME (kana),9,1,2,15.66666667
tagH,PME (kana),9,1,2,18.66666667
wfgD,PME (kana),9,1,2,16
WT,PME (kana),9,1,2,15.66666667
epsE,PME,6,2.5,2,2.333333333
rmlC,PME,6,2.5,2,2
spsA,PME,6,2.5,2,2.666666667
tagG,PME,6,2.5,2,2.666666667
tagH,PME,6,2.5,2,3.666666667
wfgD,PME,6,2.5,2,2.333333333
WT,PME,6,2.5,2,2.666666667
epsE,PMB,8,2.5,2,6
rmlC,PMB,8,2.5,2,5.666666667
spsA,PMB,8,2.5,2,6.333333333
tagG,PMB,8,2.5,2,6
tagH,PMB,8,2.5,2,7
wfgD,PMB,8,2.5,2,6
WT,PMB,8,2.5,2,5.666666667
epsE,PME,7,5,2,3.666666667
rmlC,PME,7,5,2,3.666666667
spsA,PME,7,5,2,3.666666667
tagG,PME,7,5,2,3.666666667
tagH,PME,7,5,2,5
wfgD,PME,7,5,2,3.666666667
WT,PME,7,5,2,4
