strain,HTF_length
p1.A10,1245
p1.A11,1245
p1.A12,1245
p1.A2,1245
p1.A3,1803
p1.A4,1803
p1.A5,1803
p1.A7,1803
p1.A8,1803
p1.A9,1803
p1.B1,1245
p1.B10,1245
p1.B11,1245
p1.B12,1245
p1.B2,1245
p1.B3,1803
p1.B4,1803
p1.B5,1803
p1.B6,1803
p1.B7,1803
p1.B8,1803
p1.B9,1803
p1.C1,1803
p1.C10,1803
p1.C11,1803
p1.C12,1803
p1.C2,1245
p1.C3,1245
p1.C4,1803
p1.C5,NA
p1.C6,1803
p1.C7,1803
p1.C8,1803
p1.C9,1803
p1.D1,1245
p1.D10,1803
p1.D11,1803
p1.D12,1803
p1.D2,1245
p1.D3,1245
p1.D4,1803
p1.D5,1245
p1.D6,1830
p1.D7,1803
p1.D8,1245
p1.D9,1803
p1.E1,1383
p1.E3,1245
p1.E4,1245
p1.E5,1383
p1.E6,NA
p1.E7,1383
p1.E8,1245
p1.F1,NA
p1.F10,1803
p1.F12,1803
p1.F2,NA
p1.F3,1245
p1.F4,1245
p1.F5,1245
p1.F7,1245
p1.F8,1245
p1.F9,1803
p1.G1,1245
p1.G11,1245
p1.G12,NA
p1.G2,1383
p1.G3,1803
p1.G4,1245
p1.G5,1245
p1.G6,1803
p1.G7,1803
p1.G8,1803
p1.G9,1803
p1.H1,1245
p1.H11,1803
p1.H12,1803
p1.H2,1803
p1.H3,1383
p1.H4,1803
p1.H5,1803
p1.H6,1803
p1.H7,1803
p1.H8,NA
p1.H9,1830
p11.A1,1830
p11.A10,1383
p11.A11,1245
p11.A12,1383
p11.A2,1803
p11.A3,1803
p11.A4,NA
p11.A5,1803
p11.A6,NA
p11.A7,1245
p11.A8,1803
p11.A9,1383
p11.B1,1803
p11.B10,1803
p11.B11,1245
p11.B12,1383
p11.B2,1803
p11.B4,NA
p11.B5,NA
p11.B6,1803
p11.B7,NA
p11.B8,1245
p11.B9,1803
p11.C1,1803
p11.C10,1803
p11.C11,1245
p11.C12,1383
p11.C2,1803
p11.C3,1803
p11.C4,1383
p11.C5,NA
p11.C6,NA
p11.C7,NA
p11.C8,1803
p11.C9,1803
p11.D1,1245
p11.D2,1803
p11.D3,NA
p11.D4,NA
p11.D6,1245
p11.D8,1245
p11.D9,1245
p11.E1,1803
p11.E10,1803
p11.E11,NA
p11.E2,1803
p11.E3,NA
p11.E4,NA
p11.E6,1245
p11.E7,1245
p11.E8,1245
p11.E9,1803
p11.F1,NA
p11.F10,1245
p11.F11,NA
p11.F2,1830
p11.F3,1245
p11.F6,1245
p11.F7,NA
p11.F8,1245
p11.F9,NA
p11.G1,NA
p11.G10,1245
p11.G11,1383
p11.G2,NA
p11.G3,NA
p11.G4,NA
p11.G5,NA
p11.G7,1830
