Time [s],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.059,0.0577,0.0555,0.0591,0.0584,0.0577,0.0509,0.0546,0.0557,0.0598,0.0606,,0.0615,0.0543,0.058,0.0601,0.0527,0.0601,0.0577,0.0575,0.0769,0.0592,0.0614,,0.0589,0.051,0.0513,0.0536,0.0558,0.0546,0.0537,0.0573,0.0545,0.0571,0.0579,,0.0584,0.0547,0.0586,0.0556,0.0561,0.0559,0.0562,0.0549,0.0536,0.0521,0.0518,,0.0741,0.0536,0.0553,0.0553,0.0702,0.0554,0.0542,0.0583,0.0544,0.0588,0.0569,,0.0581,0.0562,0.0551,0.0567,0.0563,0.0562,0.0531,0.057,0.059,0.0496,0.056,,0.0569,0.059,0.0572,0.0602,0.0552,0.0548,0.056,0.0582,0.053,0.0538,0.0571,,0.0582,0.0574,0.0585,0.0578,0.0587,0.0503,0.0549,0.0525,0.0565,0.0579,0.0637,
925.805,0.0588,0.0575,0.0556,0.0594,0.0579,0.0576,0.0506,0.0546,0.0558,0.0609,0.0609,,0.0616,0.0542,0.0582,0.0601,0.0525,0.0597,0.0576,0.0576,0.0838,0.0596,0.0624,,0.0589,0.0509,0.0511,0.0534,0.0559,0.0549,0.0535,0.0576,0.0546,0.0572,0.0582,,0.0585,0.0548,0.0593,0.0555,0.0565,0.0559,0.0565,0.0553,0.0538,0.0517,0.052,,0.0805,0.0536,0.0552,0.0555,0.0764,0.0555,0.054,0.0582,0.0543,0.0587,0.0571,,0.0584,0.0564,0.055,0.0569,0.0566,0.0561,0.0531,0.0573,0.059,0.0498,0.0562,,0.0569,0.0606,0.0572,0.0606,0.0551,0.0547,0.0557,0.0581,0.0531,0.0537,0.0578,,0.0584,0.0576,0.0601,0.0585,0.0603,0.0502,0.0549,0.053,0.0567,0.0582,0.063,
1856.887,0.0591,0.0573,0.0556,0.06,0.058,0.0585,0.0509,0.0545,0.0562,0.0617,0.0617,,0.0619,0.0544,0.0585,0.0606,0.0527,0.06,0.0583,0.0578,0.0866,0.0599,0.0624,,0.0591,0.051,0.051,0.0534,0.056,0.0548,0.0535,0.058,0.0547,0.0577,0.0587,,0.0588,0.0549,0.0598,0.0557,0.057,0.0559,0.0566,0.0555,0.0543,0.0517,0.0522,,0.0853,0.0537,0.0556,0.0558,0.0827,0.0557,0.0539,0.0586,0.0542,0.0589,0.0571,,0.0585,0.0565,0.0553,0.0569,0.0567,0.0562,0.0531,0.0574,0.0593,0.0496,0.0568,,0.0565,0.0628,0.0578,0.0608,0.0556,0.055,0.0561,0.0582,0.0529,0.0539,0.0583,,0.0585,0.0575,0.0617,0.0582,0.0619,0.05,0.0555,0.0534,0.0568,0.0585,0.0637,
2787.917,0.0594,0.0577,0.0561,0.061,0.0579,0.0589,0.051,0.0547,0.0566,0.0625,0.0626,,0.0623,0.0543,0.0587,0.061,0.0529,0.0605,0.0589,0.0581,0.0891,0.0603,0.0629,,0.0593,0.051,0.051,0.0538,0.0561,0.0549,0.0536,0.0587,0.0547,0.0582,0.0591,,0.059,0.0552,0.0606,0.0557,0.0571,0.0559,0.0567,0.056,0.0544,0.0518,0.0523,,0.0892,0.0536,0.0555,0.0563,0.0882,0.0559,0.0539,0.0589,0.0544,0.059,0.0574,,0.0586,0.0567,0.0557,0.0571,0.057,0.0565,0.0532,0.0578,0.0595,0.05,0.0567,,0.0563,0.0639,0.0582,0.0611,0.0556,0.0551,0.0561,0.0585,0.0531,0.0538,0.059,,0.0587,0.058,0.0629,0.0585,0.0636,0.0502,0.0551,0.0543,0.0573,0.059,0.0643,
3718.923,0.0597,0.0577,0.0561,0.0618,0.0579,0.0593,0.0512,0.0545,0.0567,0.0629,0.0634,,0.063,0.0547,0.0588,0.0613,0.0529,0.0608,0.0592,0.0582,0.0911,0.0602,0.0631,,0.0597,0.0511,0.0511,0.0539,0.056,0.0548,0.0536,0.0593,0.0546,0.0587,0.0594,,0.0593,0.0558,0.0618,0.0559,0.0573,0.056,0.0569,0.0564,0.0546,0.0519,0.0527,,0.0921,0.0538,0.0558,0.0566,0.0921,0.056,0.0541,0.0593,0.0546,0.0592,0.0576,,0.059,0.0569,0.0563,0.0574,0.0573,0.0565,0.0533,0.058,0.0598,0.05,0.0573,,0.0565,0.0648,0.0589,0.0618,0.056,0.0553,0.0564,0.0592,0.0533,0.0544,0.0596,,0.059,0.058,0.0637,0.0588,0.0644,0.0501,0.0554,0.0545,0.0573,0.0596,0.0658,
4650.023,0.0598,0.0578,0.0562,0.0626,0.0578,0.0593,0.051,0.0542,0.0569,0.063,0.0628,,0.0634,0.0546,0.0589,0.0614,0.0529,0.0613,0.0596,0.0579,0.0925,0.0604,0.0633,,0.0599,0.0507,0.0512,0.0538,0.0562,0.0545,0.0535,0.0597,0.0545,0.0588,0.0596,,0.0593,0.0558,0.0627,0.0558,0.0574,0.0561,0.057,0.0569,0.0547,0.052,0.0528,,0.094,0.0538,0.0558,0.0567,0.0956,0.0561,0.0541,0.0595,0.0545,0.0591,0.0576,,0.059,0.0571,0.0562,0.0573,0.0573,0.0566,0.0535,0.0582,0.0601,0.05,0.0572,,0.0561,0.0657,0.0592,0.0621,0.0558,0.0554,0.0564,0.0597,0.0532,0.0542,0.0597,,0.0592,0.0579,0.064,0.0587,0.0648,0.0501,0.0556,0.0548,0.0573,0.06,0.0656,
5580.972,0.0599,0.0579,0.0564,0.0638,0.0579,0.0598,0.0512,0.0541,0.0573,0.0631,0.0632,,0.0639,0.0547,0.059,0.0617,0.0529,0.0617,0.0606,0.0578,0.0941,0.0604,0.0633,,0.0607,0.0508,0.0512,0.0541,0.0562,0.0548,0.0536,0.0604,0.0547,0.0591,0.0602,,0.0598,0.0561,0.0641,0.0558,0.0577,0.056,0.0572,0.0573,0.0549,0.0522,0.0531,,0.0964,0.0539,0.0559,0.0573,0.0993,0.0567,0.0541,0.0598,0.0546,0.0595,0.0579,,0.0594,0.0571,0.0568,0.0574,0.0572,0.0568,0.0535,0.0588,0.0604,0.0501,0.0579,,0.0567,0.0666,0.0594,0.0626,0.056,0.0554,0.0566,0.0607,0.053,0.0543,0.0597,,0.0594,0.058,0.0648,0.0588,0.0653,0.0506,0.0559,0.0551,0.0574,0.0605,0.0678,
6511.957,0.0599,0.058,0.0564,0.0647,0.0579,0.0604,0.0511,0.0542,0.0576,0.0628,0.0635,,0.0647,0.0548,0.0592,0.0616,0.0529,0.0618,0.0616,0.0576,0.0946,0.0606,0.0638,,0.0607,0.0508,0.0511,0.0541,0.0562,0.0546,0.0536,0.0607,0.0548,0.0592,0.0606,,0.0598,0.0563,0.0651,0.0557,0.0577,0.0561,0.0573,0.0577,0.0547,0.0523,0.0531,,0.0974,0.054,0.0559,0.0571,0.1014,0.0566,0.0541,0.06,0.0544,0.0594,0.0584,,0.0594,0.0572,0.0564,0.0575,0.0574,0.0569,0.0535,0.059,0.0608,0.0501,0.0575,,0.0563,0.0671,0.0597,0.0631,0.056,0.0553,0.0565,0.0611,0.0532,0.0544,0.0599,,0.0597,0.058,0.0655,0.0588,0.0657,0.0506,0.0559,0.0551,0.0575,0.0612,0.0677,
7442.949,0.0606,0.0577,0.0565,0.066,0.0577,0.0606,0.0512,0.0541,0.0578,0.0627,0.0639,,0.0656,0.0549,0.0593,0.0619,0.0526,0.0623,0.0627,0.0575,0.0959,0.0607,0.0636,,0.0614,0.0508,0.0511,0.0542,0.0563,0.0547,0.0535,0.0611,0.0548,0.0594,0.0608,,0.0602,0.0565,0.0737,0.056,0.0576,0.0561,0.0574,0.0578,0.0546,0.052,0.0535,,0.099,0.054,0.0562,0.0577,0.104,0.0598,0.0542,0.0603,0.0547,0.0599,0.0582,,0.0601,0.0574,0.0565,0.0579,0.0574,0.0565,0.0537,0.0596,0.0612,0.0501,0.0579,,0.056,0.0669,0.0599,0.0642,0.0562,0.0555,0.0566,0.0624,0.0531,0.0544,0.0599,,0.0607,0.0579,0.0659,0.0588,0.0661,0.0506,0.0559,0.0551,0.0578,0.0617,0.0682,
8373.972,0.0605,0.0581,0.0567,0.0674,0.0578,0.0613,0.0513,0.0541,0.0579,0.0626,0.0668,,0.0666,0.0549,0.0595,0.0616,0.0527,0.0628,0.0637,0.0574,0.0959,0.061,0.0636,,0.0617,0.0507,0.0509,0.0542,0.0563,0.0547,0.0535,0.0613,0.0547,0.0595,0.0613,,0.0606,0.0568,0.0667,0.056,0.0578,0.0561,0.0573,0.0578,0.0548,0.0521,0.0534,,0.0998,0.054,0.056,0.0577,0.1052,0.0577,0.0542,0.0605,0.0544,0.0601,0.0585,,0.06,0.0574,0.0567,0.0578,0.0574,0.0567,0.0538,0.06,0.0618,0.0503,0.0577,,0.0559,0.0674,0.06,0.0652,0.0562,0.0557,0.0567,0.0634,0.0532,0.0545,0.0602,,0.0606,0.0579,0.0661,0.0589,0.0662,0.0507,0.056,0.0552,0.0575,0.0628,0.069,
