DATE,METHOD,OD,STRAIN,GENOTYPE,TIME,ABS,LUX
20250530,Overnight,0.01,WT,Single,0.00,0,0
20250530,Overnight,0.01,WT,Single,0.25,2.5E-05,4.25
20250530,Overnight,0.01,WT,Single,0.50,0,6
20250530,Overnight,0.01,WT,Single,0.75,7.5E-05,2.75
20250530,Overnight,0.01,WT,Single,1.00,0.000275,10.25
20250530,Overnight,0.01,WT,Single,1.25,0.00055,8.5
20250530,Overnight,0.01,WT,Single,1.50,0.00115,11.25
20250530,Overnight,0.01,WT,Single,1.75,0.001725,9
20250530,Overnight,0.01,WT,Single,2.00,0.00215,19
20250530,Overnight,0.01,WT,Single,2.25,0.002675,18.5
20250530,Overnight,0.01,WT,Single,2.50,0.003625,18.25
20250530,Overnight,0.01,WT,Single,2.75,0.0048,16.75
20250530,Overnight,0.01,WT,Single,3.00,0.005575,29
20250530,Overnight,0.01,WT,Single,3.25,0.00695,24.5
20250530,Overnight,0.01,WT,Single,3.50,0.0078,29.75
20250530,Overnight,0.01,WT,Single,3.75,0.010125,36.75
20250530,Overnight,0.01,WT,Single,4.00,0.0123,34.75
20250530,Overnight,0.01,WT,Single,4.25,0.0149,43.75
20250530,Overnight,0.01,WT,Single,4.50,0.018425,56.25
20250530,Overnight,0.01,WT,Single,4.75,0.0226,67.25
20250530,Overnight,0.01,WT,Single,5.00,0.02795,82.75
20250530,Overnight,0.01,WT,Single,5.25,0.034025,90.5
20250530,Overnight,0.01,WT,Single,5.50,0.041425,104.5
20250530,Overnight,0.01,WT,Single,5.75,0.0497,120
20250530,Overnight,0.01,WT,Single,6.00,0.06,133.75
20250530,Overnight,0.01,WT,Single,6.25,0.071425,128.5
20250530,Overnight,0.01,WT,Single,6.50,0.0833,151
20250530,Overnight,0.01,WT,Single,6.75,0.096425,163
20250530,Overnight,0.01,WT,Single,7.00,0.1093,197.25
20250530,Overnight,0.01,WT,Single,7.25,0.1236,230.75
20250530,Overnight,0.01,WT,Single,7.50,0.13975,249.25
20250530,Overnight,0.01,WT,Single,7.75,0.15755,279.25
20250530,Overnight,0.01,WT,Single,8.00,0.1755,305.25
20250530,Overnight,0.01,WT,Single,8.25,0.196475,353.75
20250530,Overnight,0.01,WT,Single,8.50,0.217775,367.75
20250530,Overnight,0.01,WT,Single,8.75,0.23935,408.25
20250530,Overnight,0.01,WT,Single,9.00,0.263175,479.75
20250530,Overnight,0.01,WT,Single,9.25,0.29025,529.25
20250530,Overnight,0.01,WT,Single,9.50,0.3157,611.25
20250530,Overnight,0.01,WT,Single,9.75,0.3439,621.25
20250530,Overnight,0.01,WT,Single,10.00,0.3735,683.25
20250530,Overnight,0.01,WT,Single,10.25,0.4008,728.25
20250530,Overnight,0.01,WT,Single,10.50,0.42435,746
20250530,Overnight,0.01,WT,Single,10.75,0.448725,771.25
20250530,Overnight,0.01,WT,Single,11.00,0.469125,855.5
20250530,Overnight,0.01,WT,Single,11.25,0.492325,882
20250530,Overnight,0.01,WT,Single,11.50,0.5176,943.75
20250530,Overnight,0.01,WT,Single,11.75,0.5403,964
20250530,Overnight,0.01,WT,Single,12.00,0.5665,980
20250530,Overnight,0.01,WT,Single,12.25,0.588475,1047.75
20250530,Overnight,0.01,WT,Single,12.50,0.614775,1056.5
20250530,Overnight,0.01,WT,Single,12.75,0.635075,1103.5
20250530,Overnight,0.01,WT,Single,13.00,0.655775,1085
20250530,Overnight,0.01,WT,Single,13.25,0.671375,1121.25
20250530,Overnight,0.01,WT,Single,13.50,0.6855,1152.25
20250530,Overnight,0.01,WT,Single,13.75,0.70005,1157.5
20250530,Overnight,0.01,WT,Single,14.00,0.710975,1148.25
20250530,Overnight,0.01,WT,Single,14.25,0.720225,1185.75
20250530,Overnight,0.01,WT,Single,14.50,0.72995,1152.5
20250530,Overnight,0.01,WT,Single,14.75,0.73995,1195.25
20250530,Overnight,0.01,WT,Single,15.00,0.744225,1172.75
20250530,Overnight,0.01,WT,Single,15.25,0.752275,1162
20250530,Overnight,0.01,WT,Single,15.50,0.762125,1143.75
20250530,Overnight,0.01,WT,Single,15.75,0.7699,1179.25
20250530,Overnight,0.01,WT,Single,16.00,0.773375,1196.25
20250530,Overnight,0.01,WT,Single,16.25,0.7829,1154
20250530,Overnight,0.01,WT,Single,16.50,0.7905,1174.75
20250530,Overnight,0.01,WT,Single,16.75,0.797725,1177.5
20250530,Overnight,0.01,WT,Single,17.00,0.8036,1166.5
20250530,Overnight,0.01,WT,Single,17.25,0.813175,1155.75
20250530,Overnight,0.01,WT,Single,17.50,0.821825,1142.25
20250530,Overnight,0.01,WT,Single,17.75,0.83175,1185.5
20250530,Overnight,0.01,WT,Single,18.00,0.840975,1154
20250530,Overnight,0.01,WT,Single,18.25,0.84935,1162
20250530,Overnight,0.01,WT,Single,18.50,0.860475,1175.5
20250530,Overnight,0.01,WT,Single,18.75,0.866975,1157.75
20250530,Overnight,0.01,WT,Single,19.00,0.878925,1149.75
20250530,Overnight,0.01,WT,Single,19.25,0.887975,1125.25
20250530,Overnight,0.01,WT,Single,19.50,0.877475,1150.5
20250530,Overnight,0.01,WT,Single,19.75,0.8827,1122.25
20250530,Overnight,0.01,WT,Single,20.00,0.908225,1139
20250530,Overnight,0.01,WT,Single,20.25,0.9244,1159.5
20250530,Overnight,0.01,WT,Single,20.50,0.93835,1150.75
20250530,Overnight,0.01,WT,Single,20.75,0.943775,1101.25
20250530,Overnight,0.01,WT,Single,21.00,0.955325,1127.5
20250530,Overnight,0.01,WT,Single,21.25,0.96545,1126.25
20250530,Overnight,0.01,WT,Single,21.50,0.9709,1075.25
20250530,Overnight,0.01,WT,Single,21.75,0.982075,1107
20250530,Overnight,0.01,WT,Single,22.00,0.9869,1109
20250530,Overnight,0.01,WT,Single,22.25,0.998075,1101
20250530,Overnight,0.01,WT,Single,22.50,1.0004,1096.5
20250530,Overnight,0.01,WT,Single,22.75,1.0088,1099.75
20250530,Overnight,0.01,WT,Single,23.00,1.013575,1068.75
20250530,Overnight,0.01,WT,Single,23.25,1.0218,1063.5
20250530,Overnight,0.01,WT,Single,23.50,1.02565,1045.5
20250530,Overnight,0.01,WT,Single,23.75,1.02975,1043.5
20250530,Overnight,0.01,WT,Single,24.00,1.036775,1031
20250530,Overnight,0.01,OBC,Single,0.00,0,0
20250530,Overnight,0.01,OBC,Single,0.25,0,7.75
20250530,Overnight,0.01,OBC,Single,0.50,0,4.25
20250530,Overnight,0.01,OBC,Single,0.75,0,2.75
20250530,Overnight,0.01,OBC,Single,1.00,5E-05,10.25
20250530,Overnight,0.01,OBC,Single,1.25,0.000325,7.25
20250530,Overnight,0.01,OBC,Single,1.50,0.0007,13.25
20250530,Overnight,0.01,OBC,Single,1.75,0.0012,19.25
20250530,Overnight,0.01,OBC,Single,2.00,0.001875,16
20250530,Overnight,0.01,OBC,Single,2.25,0.002575,15
20250530,Overnight,0.01,OBC,Single,2.50,0.0037,24.25
20250530,Overnight,0.01,OBC,Single,2.75,0.0052,31.75
20250530,Overnight,0.01,OBC,Single,3.00,0.006625,37.75
20250530,Overnight,0.01,OBC,Single,3.25,0.00855,28.75
20250530,Overnight,0.01,OBC,Single,3.50,0.01065,42
20250530,Overnight,0.01,OBC,Single,3.75,0.013625,54.75
20250530,Overnight,0.01,OBC,Single,4.00,0.01655,53.25
20250530,Overnight,0.01,OBC,Single,4.25,0.020425,75.5
20250530,Overnight,0.01,OBC,Single,4.50,0.02425,83.5
20250530,Overnight,0.01,OBC,Single,4.75,0.0291,99
20250530,Overnight,0.01,OBC,Single,5.00,0.034575,108.25
20250530,Overnight,0.01,OBC,Single,5.25,0.041,109.75
20250530,Overnight,0.01,OBC,Single,5.50,0.0464,155.5
20250530,Overnight,0.01,OBC,Single,5.75,0.052125,164.5
20250530,Overnight,0.01,OBC,Single,6.00,0.061,181.5
20250530,Overnight,0.01,OBC,Single,6.25,0.0663,185.25
20250530,Overnight,0.01,OBC,Single,6.50,0.07465,213.25
20250530,Overnight,0.01,OBC,Single,6.75,0.083175,229.5
20250530,Overnight,0.01,OBC,Single,7.00,0.0907,241
20250530,Overnight,0.01,OBC,Single,7.25,0.0977,250.25
20250530,Overnight,0.01,OBC,Single,7.50,0.103825,275
20250530,Overnight,0.01,OBC,Single,7.75,0.109675,306
20250530,Overnight,0.01,OBC,Single,8.00,0.115875,326
20250530,Overnight,0.01,OBC,Single,8.25,0.125875,325.5
20250530,Overnight,0.01,OBC,Single,8.50,0.139825,371.5
20250530,Overnight,0.01,OBC,Single,8.75,0.151325,403.75
20250530,Overnight,0.01,OBC,Single,9.00,0.159575,441
20250530,Overnight,0.01,OBC,Single,9.25,0.16855,467
20250530,Overnight,0.01,OBC,Single,9.50,0.177125,503.5
20250530,Overnight,0.01,OBC,Single,9.75,0.18665,534.25
20250530,Overnight,0.01,OBC,Single,10.00,0.1955,549.75
20250530,Overnight,0.01,OBC,Single,10.25,0.206525,579.5
20250530,Overnight,0.01,OBC,Single,10.50,0.21665,588
