ECOTYPE,DPI,TREATMENT,CONCENTRATION,PLANT,LEAF,CFU/LEAF,LOG10(CFU/LEAF)
Eyach,2,Mock,-,1,1,0,0
Eyach,2,Mock,-,1,2,0,0
Eyach,2,Mock,-,2,1,0,0
Eyach,2,Mock,-,2,2,0,0
Eyach,2,Mock,-,3,1,0,0
Eyach,2,Mock,-,3,2,0,0
Eyach,2,WT,10^6,1,1,16666.66667,4.22184875
Eyach,2,WT,10^6,1,2,20333.33333,4.30820858
Eyach,2,WT,10^6,2,1,933.3333333,2.970036777
Eyach,2,WT,10^6,2,2,366.6666667,2.56427143
Eyach,2,WT,10^6,3,1,30000,4.477121255
Eyach,2,WT,10^6,3,2,300000,5.477121255
Eyach,2,WT,10^7,1,1,1566.666667,3.194976603
Eyach,2,WT,10^7,1,2,170000,5.230448921
Eyach,2,WT,10^7,2,1,833333.3333,5.920818754
Eyach,2,WT,10^7,2,2,130000,5.113943352
Eyach,2,WT,10^7,3,1,230000,5.361727836
Eyach,2,WT,10^7,3,2,300000,5.477121255
Eyach,2,WT,10^8,1,1,10000000,7
Eyach,2,WT,10^8,1,2,9666666.667,6.985276743
Eyach,2,WT,10^8,2,1,4333333.333,6.636822098
Eyach,2,WT,10^8,2,2,12000000,7.079181246
Eyach,2,WT,10^8,3,1,1166666.667,6.06694679
Eyach,2,WT,10^8,3,2,2633333.333,6.420505837
Eyach,2,wfgD,10^6,1,1,33.33333333,1.522878745
Eyach,2,wfgD,10^6,1,2,0,0
Eyach,2,wfgD,10^6,2,1,133.3333333,2.124938737
Eyach,2,wfgD,10^6,2,2,200,2.301029996
Eyach,2,wfgD,10^6,3,1,566.6666667,0
Eyach,2,wfgD,10^6,3,2,100,2
Eyach,2,wfgD,10^7,1,1,1166.666667,3.06694679
Eyach,2,wfgD,10^7,1,2,500,2.698970004
Eyach,2,wfgD,10^7,2,1,2666.666667,3.425968732
Eyach,2,wfgD,10^7,2,2,2133.333333,3.329058719
Eyach,2,wfgD,10^7,3,1,12666.66667,4.102662342
Eyach,2,wfgD,10^7,3,2,566.6666667,2.753327667
Eyach,2,wfgD,10^8,1,1,700000,5.84509804
Eyach,2,wfgD,10^8,1,2,220000,5.342422681
Eyach,2,wfgD,10^8,2,1,143333.3333,5.156347201
Eyach,2,wfgD,10^8,2,2,6666.666667,3.823908741
Eyach,2,wfgD,10^8,3,1,30000,4.477121255
Eyach,2,wfgD,10^8,3,2,126666.6667,5.102662342
Eyach,5,Mock,-,1,1,0,0
Eyach,5,Mock,-,1,2,0,0
Eyach,5,Mock,-,2,1,0,0
Eyach,5,Mock,-,2,2,0,0
Eyach,5,Mock,-,3,1,0,0
Eyach,5,Mock,-,3,2,0,0
Eyach,5,WT,10^6,1,1,6333.333333,3.801632346
Eyach,5,WT,10^6,1,2,53333.33333,4.726998728
Eyach,5,WT,10^6,2,1,1233333.333,6.091080469
Eyach,5,WT,10^6,2,2,900000,5.954242509
Eyach,5,WT,10^6,3,1,3666.666667,3.56427143
Eyach,5,WT,10^6,3,2,6333.333333,3.801632346
Eyach,5,WT,10^7,1,1,70000,4.84509804
Eyach,5,WT,10^7,1,2,93333.33333,4.970036777
Eyach,5,WT,10^7,2,1,126666.6667,5.102662342
Eyach,5,WT,10^7,2,2,150000,5.176091259
Eyach,5,WT,10^7,3,1,100000,5
Eyach,5,WT,10^7,3,2,14000,4.146128036
Eyach,5,WT,10^8,1,1,1933333.333,6.286306739
Eyach,5,WT,10^8,1,2,366666.6667,5.56427143
Eyach,5,WT,10^8,2,1,83333.33333,4.920818754
Eyach,5,WT,10^8,2,2,2233333.333,6.348953548
Eyach,5,WT,10^8,3,1,1533333.333,6.185636577
Eyach,5,WT,10^8,3,2,1133333.333,6.054357662
Eyach,5,wfgD,10^6,1,1,566.6666667,2.753327667
Eyach,5,wfgD,10^6,1,2,0,0
Eyach,5,wfgD,10^6,2,1,0,0
Eyach,5,wfgD,10^6,2,2,0,0
Eyach,5,wfgD,10^6,3,1,200,2.301029996
Eyach,5,wfgD,10^6,3,2,0,0
Eyach,5,wfgD,10^7,1,1,0,0
Eyach,5,wfgD,10^7,1,2,1333.333333,3.124938737
Eyach,5,wfgD,10^7,2,1,0,0
Eyach,5,wfgD,10^7,2,2,16333.33333,4.213074825
Eyach,5,wfgD,10^7,3,1,666.6666667,2.823908741
Eyach,5,wfgD,10^7,3,2,14666.66667,4.166331422
Eyach,5,wfgD,10^8,1,1,20000,4.301029996
Eyach,5,wfgD,10^8,1,2,8000,3.903089987
Eyach,5,wfgD,10^8,2,1,106666.6667,5.028028724
Eyach,5,wfgD,10^8,2,2,30000,4.477121255
Eyach,5,wfgD,10^8,3,1,1333.333333,3.124938737
Eyach,5,wfgD,10^8,3,2,3000,3.477121255
Col-0,2,Mock,-,1,1,0,0
Col-0,2,Mock,-,1,2,0,0
Col-0,2,Mock,-,2,1,33.33333333,1.522878745
Col-0,2,Mock,-,2,2,0,0
Col-0,2,Mock,-,3,1,0,0
Col-0,2,Mock,-,3,2,0,0
Col-0,2,WT,10^6,1,1,1166.666667,3.06694679
Col-0,2,WT,10^6,1,2,2033.333333,3.30820858
Col-0,2,WT,10^6,2,1,11000,4.041392685
Col-0,2,WT,10^6,2,2,2666.666667,3.425968732
Col-0,2,WT,10^6,3,1,2200,3.342422681
Col-0,2,WT,10^6,3,2,433.3333333,2.636822098
Col-0,2,WT,10^7,1,1,1566666.667,6.194976603
Col-0,2,WT,10^7,1,2,96666.66667,4.985276743
Col-0,2,WT,10^7,2,1,56666666.67,7.753327667
Col-0,2,WT,10^7,2,2,9666666.667,6.985276743
Col-0,2,WT,10^7,3,1,130000,5.113943352
Col-0,2,WT,10^7,3,2,1400000,6.146128036
Col-0,2,WT,10^8,1,1,11333333.33,7.054357662
Col-0,2,WT,10^8,1,2,300000,5.477121255
Col-0,2,WT,10^8,2,1,366666.6667,5.56427143
Col-0,2,WT,10^8,2,2,1166666.667,6.06694679
Col-0,2,WT,10^8,3,1,866666.6667,5.937852093
Col-0,2,WT,10^8,3,2,400000,5.602059991
Col-0,2,wfgD,10^6,1,1,33.33333333,1.522878745
Col-0,2,wfgD,10^6,1,2,0,0
