strain mean_pixel se_pixel
Control 72060.1875 1134.44275904579
DC3000 24207 1940.96553923293
p1.A2 28676.125 2391.38508545845
p1.A3 714.625 180.802698520821
p1.C5 44704.875 2332.24432015975
p1.D11 421 64.9609085747509
p1.D2 55074 3089.24933422014
p1.E3 2431.5 635.469339346911
p1.E6 68803 1261.6336313062
p1.F8 10467.75 1911.46500092907
p1.G2 8281.5 1412.35561683057
p1.G5 8867.625 2009.51824354733
p1.H1 10316.25 2445.98702483673
p13.E11 10697.875 1689.06760183252
p13.E3 6731.25 1332.21292262362
p13.F1 56842.375 3480.52640462508
p13.F2 17387.5 3908.06852755571
p13.F5 66883.75 3140.44772012089
p13.G2 5811 1594.12475425948
p13.G4 7265.375 1403.64451317413
p13.G8 11449.5 1834.39371917925
p13.H5 351.75 52.9912286373887
p20.B12 7349.25 1637.64155161088
p20.B3 853.5 124.357437740686
p20.B8 23240.1428571429 2877.73318343176
p21.E3 38298.375 2596.48124867502
p21.E5 5029.125 1684.23528169196
p21.F4 9780 1911.69410541503
p21.H4 2313.375 693.602950752382
p22.A8 23772.375 2298.41585287708
p22.B5 30742 2920.97714279828
p22.C1 34247.25 2141.68829092636
p22.C3 2790.25 790.171595711743
p22.D2 4911.75 1524.72888946984
p22.D4 5953.25 1138.59631382163
p22.D7 47152.25 2446.47004608353
p22.E7 20275.75 2488.65724763483
p22.F1 5309.25 1205.02830573972
p22.H4 47485.125 3170.15877351191
p23.A2 3119.25 415.545627490876
p23.A7 7430.25 1866.01368079648
p23.B1 444.75 103.918940551553
p23.B3 1895.14285714286 442.224089995779
p23.B4 55263 1431.40543447939
p23.B6 13294.875 2059.31734900608
p23.C2 6005.625 991.131282157405
p23.C4 1039.125 180.003676022731
p23.C9 4328.625 955.746977727509
p23.D5 6306.375 1157.92240622078
p24.G4 799.125 150.819272130528
p24.H2 75093.7142857143 2610.50425018486
p25.A12 14361 2902.85540459734
p25.A4 2652 639.809974579506
p25.B2 4390.125 1210.59719699894
p25.C11 10933.875 1143.89793430008
p25.C2 191.25 12.3981115353451
p25.D2 3726 1224.6617827559
p25.D3_contaminated 48163.125 1941.4379812368
p25.E3 46942.2857142857 2848.89900169625
p25.F3 43911.75 1701.52655691409
p3.A3 841 101.767351100439
p4.A9 1013.25 202.705129238613
p4.B4 49646.5 3030.15417747773
p4.B7 406.875 86.8809848272542
p4.D2 53636.625 2077.49921129594
p4.E5 50165.875 1719.40473040908
p4.F10 9325.875 1639.57264744166
p4.F5 5739.75 1244.41609182709
p4.G2 65204.125 1852.03674374117
p4.G3 60677.125 1735.17746935794
p4.G8 1839.75 474.456482979284
p4.H3 57279.25 1731.24381735616
p6.A10 965.625 191.898107467358
p6.A9 1851 579.123506442525
p6.B5 50270.25 3184.37780824915
p6.B9 17239.875 1927.69398277809
p6.C5 42011.25 1797.90758684873
p6.D1 19045.75 2225.69897603419
p6.D10 60621 2454.99047677815
p6.D6 49532 2651.30501944277
p6.D8 43081.625 2440.5777592259
p6.E1 4728.75 1066.66457722777
p6.E9 64855.125 2289.70305158838
p7.F2 50600.4285714286 3375.9254491893
p7.G11 33270.75 3211.22143869715
p7.G6 40724.25 2184.99030190517
p7.G9 77784 2633.11439886307
p8.A2 55354.75 3643.2312702009
p8.B2 7384.125 1796.43303873743
p8.B3 246.125 16.5640582151106
p8.B9 6891.625 1222.25630045694
p8.C7 13649.5 2142.80403431212
p8.D11 61060.75 2134.06352909311
p8.D5 46152.375 2363.51890815057
p8.E5 18360 2579.09164123293
NA 22734.6666666667 3536.32150678961
