Date,HPI,Treatment,Target,Name,Sample,Biorep,Baseline,MNE_fc
20250825,0,Mock,FRK1,0hpi-Mock,16,1,Mock,1
20250825,0,Mock,WRKY29,0hpi-Mock,16,1,Mock,1
20250825,0,OBC,FRK1,0hpi-OBC,31,1,Mock,0.483582699
20250825,0,OBC,WRKY29,0hpi-OBC,31,1,Mock,0.865695536
20250825,0,WT,FRK1,0hpi-WT,1,1,Mock,0.172208514
20250825,0,WT,WRKY29,0hpi-WT,1,1,Mock,0.282988459
20250825,0,rmlC,FRK1,0hpi-rmlC,17,1,Mock,0.088947467
20250825,0,rmlC,WRKY29,0hpi-rmlC,17,1,Mock,0.281778463
20250825,0,tagG,FRK1,0hpi-tagG,32,1,Mock,0.669390009
20250825,0,tagG,WRKY29,0hpi-tagG,32,1,Mock,1.457028107
20250825,0,wfgD,FRK1,0hpi-wfgD,18,1,Mock,1.262888891
20250825,0,wfgD,WRKY29,0hpi-wfgD,18,1,Mock,0.974881597
20250825,2,Mock,FRK1,2hpi-Mock,19,1,Mock,1
20250825,2,Mock,WRKY29,2hpi-Mock,19,1,Mock,1
20250825,2,OBC,FRK1,2hpi-OBC,33,1,Mock,1.951670985
20250825,2,OBC,WRKY29,2hpi-OBC,33,1,Mock,1.258536107
20250825,2,WT,FRK1,2hpi-WT,2,1,Mock,4.300841265
20250825,2,WT,WRKY29,2hpi-WT,2,1,Mock,1.006167789
20250825,2,rmlC,FRK1,2hpi-rmlC,34,1,Mock,8.025562358
20250825,2,rmlC,WRKY29,2hpi-rmlC,34,1,Mock,5.745013257
20250825,2,tagG,FRK1,2hpi-tagG,20,1,Mock,0.559456945
20250825,2,tagG,WRKY29,2hpi-tagG,20,1,Mock,0.259905316
20250825,2,wfgD,FRK1,2hpi-wfgD,21,1,Mock,0.527235809
20250825,2,wfgD,WRKY29,2hpi-wfgD,21,1,Mock,0.306917398
20250825,6,Mock,FRK1,6hpi-Mock,3,1,Mock,1
20250825,6,Mock,WRKY29,6hpi-Mock,3,1,Mock,1
20250825,6,OBC,FRK1,6hpi-OBC,5,1,Mock,4.209642811
20250825,6,OBC,WRKY29,6hpi-OBC,5,1,Mock,0.624349883
20250825,6,WT,FRK1,6hpi-WT,4,1,Mock,7.823094092
20250825,6,WT,WRKY29,6hpi-WT,4,1,Mock,1.550802141
20250825,6,rmlC,FRK1,6hpi-rmlC,37,1,Mock,10.86206232
20250825,6,rmlC,WRKY29,6hpi-rmlC,37,1,Mock,4.380840831
20250825,6,tagG,FRK1,6hpi-tagG,35,1,Mock,3.754059572
20250825,6,tagG,WRKY29,6hpi-tagG,35,1,Mock,4.972895545
20250825,6,wfgD,FRK1,6hpi-wfgD,36,1,Mock,41.24386953
20250825,6,wfgD,WRKY29,6hpi-wfgD,36,1,Mock,3.599349261
20250825,10,Mock,FRK1,10hpi-Mock,6,1,Mock,1
20250825,10,Mock,WRKY29,10hpi-Mock,6,1,Mock,1
20250825,10,OBC,FRK1,10hpi-OBC,22,1,Mock,0.509087821
20250825,10,OBC,WRKY29,10hpi-OBC,22,1,Mock,0.711145032
20250825,10,WT,FRK1,10hpi-WT,7,1,Mock,0.860885352
20250825,10,WT,WRKY29,10hpi-WT,7,1,Mock,0.649800792
20250825,10,rmlC,FRK1,10hpi-rmlC,8,1,Mock,0.597114258
20250825,10,rmlC,WRKY29,10hpi-rmlC,8,1,Mock,1.300883177
