STRAIN,COMPOUND,DISK NUMBER,QUANTITY (ug),N_REPLICATES,MEAN_AREA,SE_AREA
WT,PMB,1,0,3,0,0
WT,PMB,2,0.025,3,0,0
WT,PMB,3,0.05,3,0,0
WT,PMB,4,0.1,3,0.3333333333333333,0.19245008982610032
WT,PMB,5,0.25,3,2.2222222223333334,0.40061680830784596
WT,PMB,6,0.5,3,3.2222222223333334,0.400616808307846
WT,PMB,7,1,3,4.333333333333333,0.33333333333333337
WT,PMB,8,2.5,3,6,0.5091750772536853
WT,PMB (kana),9,1,3,16.55555555333333,0.40061680761447044
WT,PME,1,0,3,0,0
WT,PME,2,0.1,3,0,0
WT,PME,3,0.25,3,0,0
WT,PME,4,0.5,3,0,0
WT,PME,5,1,3,0.888888889,0.11111111100000001
WT,PME,6,2.5,3,2.888888889,0.11111111100000004
WT,PME,7,5,3,4.111111111,0.1111111109999999
WT,PME,8,10,3,5.222222222333333,0.22222222233333347
WT,PME (kana),9,1,3,15.88888889,0.11111111000000011
epsE,PMB,1,0,3,0,0
epsE,PMB,2,0.025,3,0,0
epsE,PMB,3,0.05,3,0,0
epsE,PMB,4,0.1,3,0.222222222,0.111111111
epsE,PMB,5,0.25,3,2.3333333333333335,0.33333333333333337
epsE,PMB,6,0.5,3,3.3333333333333335,0.33333333333333337
epsE,PMB,7,1,3,4.777777777666667,0.29397236785406955
epsE,PMB,8,2.5,3,6.333333333333333,0.33333333333333337
epsE,PMB (kana),9,1,3,17.33333333666667,0.33333333333333337
epsE,PME,1,0,3,0,0
epsE,PME,2,0.1,3,0,0
epsE,PME,3,0.25,3,0,0
epsE,PME,4,0.5,3,0,0
epsE,PME,5,1,3,0.6666666666666666,0.19245008982610032
epsE,PME,6,2.5,3,2.8888888886666666,0.29397236791706366
epsE,PME,7,5,3,4,0.19245008953742512
epsE,PME,8,10,3,5.222222222333333,0.4006168083078459
epsE,PME (kana),9,1,3,16.55555555333333,0.40061680761447044
rmlC,PMB,1,0,3,0,0
rmlC,PMB,2,0.025,3,0,0
rmlC,PMB,3,0.05,3,0,0
rmlC,PMB,4,0.1,3,0.222222222,0.111111111
rmlC,PMB,5,0.25,3,2.3333333333333335,0.33333333333333337
rmlC,PMB,6,0.5,3,3.3333333333333335,0.33333333333333337
rmlC,PMB,7,1,3,4.5555555556666665,0.2939723679170637
rmlC,PMB,8,2.5,3,6.222222222333333,0.4006168083078459
rmlC,PMB (kana),9,1,3,16.55555555666667,0.293972368106046
rmlC,PME,1,0,3,0,0
rmlC,PME,2,0.1,3,0,0
rmlC,PME,3,0.25,3,0,0
rmlC,PME,4,0.5,3,0,0
rmlC,PME,5,1,3,0.888888889,0.11111111100000001
rmlC,PME,6,2.5,3,2.6666666666666665,0.33333333333333337
rmlC,PME,7,5,3,4,0.19245008953742512
rmlC,PME,8,10,3,5.333333333333333,0.1924500898261004
rmlC,PME (kana),9,1,3,16.44444444333333,0.293972368106046
spsA,PMB,1,0,3,0,0
spsA,PMB,2,0.025,3,0,0
spsA,PMB,3,0.05,3,0,0
spsA,PMB,4,0.1,3,0.3333333333333333,0.19245008982610032
spsA,PMB,5,0.25,3,2.2222222223333334,0.2222222223333333
spsA,PMB,6,0.5,3,3.777777778,0.48432210492706995
spsA,PMB,7,1,3,5,0.5091750772536853
spsA,PMB,8,2.5,3,6.555555555333333,0.4006168083078459
spsA,PMB (kana),9,1,3,17.55555555666667,0.11111111333333432
spsA,PME,1,0,3,0,0
spsA,PME,2,0.1,3,0,0
spsA,PME,3,0.25,3,0,0
spsA,PME,4,0.5,3,0,0
spsA,PME,5,1,3,0.777777778,0.11111111100000001
spsA,PME,6,2.5,3,2.777777778,0.11111111100000004
spsA,PME,7,5,3,4.277777778,0.3093202423395335
spsA,PME,8,10,3,5.5555555556666665,0.11111111133333357
spsA,PME (kana),9,1,3,17.44444444333333,0.293972368106046
tagG,PMB,1,0,3,0,0
tagG,PMB,2,0.025,3,0,0
tagG,PMB,3,0.05,3,0,0
tagG,PMB,4,0.1,3,0.222222222,0.111111111
tagG,PMB,5,0.25,3,2.2222222223333334,0.40061680830784596
tagG,PMB,6,0.5,3,3.3333333333333335,0.5091750773627941
tagG,PMB,7,1,3,4.5555555556666665,0.2939723679170637
tagG,PMB,8,2.5,3,6,0.19245008953742498
tagG,PMB (kana),9,1,3,15.777777776666667,0.22222222333333325
tagG,PME,1,0,3,0,0
tagG,PME,2,0.1,3,0,0
tagG,PME,3,0.25,3,0,0
tagG,PME,4,0.5,3,0,0
tagG,PME,5,1,3,0.888888889,0.11111111100000001
tagG,PME,6,2.5,3,2.5555555556666665,0.29397236791706366
tagG,PME,7,5,3,4.111111111333333,0.29397236791706377
tagG,PME,8,10,3,5.222222222,0.1111111109999999
tagG,PME (kana),9,1,3,15.222222223333333,0.22222222333333325
tagH,PMB,1,0,3,0,0
tagH,PMB,2,0.025,3,0,0
tagH,PMB,3,0.05,3,0,0
tagH,PMB,4,0.1,3,0.5555555556666667,0.2939723679170637
tagH,PMB,5,0.25,3,2.4444444443333335,0.5555555556666667
tagH,PMB,6,0.5,3,3.6666666666666665,0.5091750770354673
tagH,PMB,7,1,3,5.111111111,0.6758625032660027
tagH,PMB,8,2.5,3,6.555555555333333,0.6186404847988037
tagH,PMB (kana),9,1,3,17.333333333333332,0.6938886659549502
tagH,PME,1,0,3,0,0
tagH,PME,2,0.1,3,0,0
tagH,PME,3,0.25,3,0,0
tagH,PME,4,0.5,3,0.11111111100000001,0.111111111
tagH,PME,5,1,3,0.9999999996666666,0.3333333333333333
tagH,PME,6,2.5,3,3.3333333336666664,0.33333333333333337
tagH,PME,7,5,3,4.5555555556666665,0.2939723679170637
tagH,PME,8,10,3,5.777777777666667,0.22222222233333347
tagH,PME (kana),9,1,3,17.222222223333333,0.7777777788095244
wfgD,PMB,1,0,3,0,0
wfgD,PMB,2,0.025,3,0,0
wfgD,PMB,3,0.05,3,0,0
wfgD,PMB,4,0.1,3,0.11111111100000001,0.111111111
wfgD,PMB,5,0.25,3,2.2222222223333334,0.2222222223333333
wfgD,PMB,6,0.5,3,3.3333333333333335,0.33333333333333337
wfgD,PMB,7,1,3,4.333333333333333,0.33333333333333337
wfgD,PMB,8,2.5,3,5.888888889,0.1111111109999999
wfgD,PMB (kana),9,1,3,16.33333333,0
wfgD,PME,1,0,3,0,0
wfgD,PME,2,0.1,3,0,0
wfgD,PME,3,0.25,3,0,0
wfgD,PME,4,0.5,3,0,0
wfgD,PME,5,1,3,0.5555555556666667,0.2939723679170637
wfgD,PME,6,2.5,3,2.6666666666666665,0.19245008982610026
wfgD,PME,7,5,3,3.888888889,0.11111111100000004
wfgD,PME,8,10,3,5.111111111,0.1111111109999999
wfgD,PME (kana),9,1,3,15.77777778,0.11111111000000011
