H2O2_scaled,contrast,ratio,lower.CL,upper.CL,p.value,p.adj
0,epsE - WT,-0.03510759946131742,NA,NA,0.9988377442258637,0.9999999852106914
0,rmlC - WT,-0.041677172325842234,NA,NA,0.9951501084407197,0.9999999852106914
0,spsA - WT,0.0017167227497397043,NA,NA,0.9999996591105486,0.9999999852106914
0,tagG - WT,-0.13958167501566235,NA,NA,0.8506407115290137,0.9999999852106914
0,tagH - WT,-0.13280878923791944,NA,NA,0.9458322538269066,0.9999999852106914
0,wfgD - WT,-0.11810619883628136,NA,NA,0.959408851974031,0.9999999852106914
0.25,epsE - WT,0.12128017909370109,NA,NA,0.917410743909911,0.9999999852106914
0.25,rmlC - WT,0.05922314213117671,NA,NA,0.974012552325047,0.9999999852106914
0.25,spsA - WT,0.12860974392418129,NA,NA,0.7868992982186754,0.9999999852106914
0.25,tagG - WT,-0.0967012886080596,NA,NA,0.8982012249108001,0.9999999852106914
0.25,tagH - WT,6.648442761670315e-4,NA,NA,0.9999999852106914,0.9999999852106914
0.25,wfgD - WT,0.04436907518375778,NA,NA,0.9954536111823505,0.9999999852106914
0.5,epsE - WT,0.2776679576487196,NA,NA,0.24630769548622433,0.5215927669120045
0.5,rmlC - WT,0.16012345658819566,NA,NA,0.5310485179104102,0.9999999852106914
0.5,spsA - WT,0.2555027650986229,NA,NA,0.12747406369804393,0.32779044950925584
0.5,tagG - WT,-0.053820902200456835,NA,NA,0.9716424730401653,0.9999999852106914
0.5,tagH - WT,0.1341384777902535,NA,NA,0.8272968533534604,0.9999999852106914
0.5,wfgD - WT,0.2068443492037969,NA,NA,0.5165303343926959,0.9999999852106914
0.75,epsE - WT,0.4340557362037381,NA,NA,0.010632263448000945,0.05006915876198503
0.75,rmlC - WT,0.26102377104521457,NA,NA,0.15209924953029197,0.3650381988727007
0.75,spsA - WT,0.38239578627306453,NA,NA,0.011126479724885563,0.05006915876198503
0.75,tagG - WT,-0.010940515792854072,NA,NA,0.9997897035611031,0.9999999852106914
0.75,tagH - WT,0.26761211130434,NA,NA,0.2379522887509259,0.5215927669120045
0.75,wfgD - WT,0.36931962322383605,NA,NA,0.03984716599223448,0.14344979757204412
1,epsE - WT,0.5904435147587566,NA,NA,0.0012444703677638724,0.022400466619749704
1,rmlC - WT,0.36192408550223354,NA,NA,0.0790561682420784,0.21892477359344786
1,spsA - WT,0.509288807447506,NA,NA,0.004516694572537894,0.029892091905049156
1,tagG - WT,0.03193987061474868,NA,NA,0.9971856908062522,0.9999999852106914
1,tagH - WT,0.40108574481842646,NA,NA,0.05840757094583593,0.19115205036819033
1,wfgD - WT,0.5317948972438752,NA,NA,0.0043782305061856874,0.029892091905049156
1.25,epsE - WT,0.7468312933137751,NA,NA,9.5007415602677e-4,0.022400466619749704
1.25,rmlC - WT,0.4628243999592525,NA,NA,0.07200541753595857,0.21601625260787571
1.25,spsA - WT,0.6361818286219476,NA,NA,0.004982015317508193,0.029892091905049156
1.25,tagG - WT,0.07482025702235143,NA,NA,0.9825151478080488,0.9999999852106914
1.25,tagH - WT,0.5345593783325129,NA,NA,0.03479207663375583,0.13916830653502332
1.25,wfgD - WT,0.6942701712639143,NA,NA,0.002451129809072583,0.029413557708870997
