"DATE","STRAIN","GENOTYPE","k","k_se","k_p","n0","n0_se","n0_p","r","r_se","r_p","sigma","df","t_mid","t_gen","auc_l","auc_e","note"
20250530,"LB","-",0.000165897073157182,9.35614141277295e-06,9.67410295987482e-32,1.58095928682339e-05,4.79406088765103e-06,0.00137680212204515,0.253954068409106,0.0419592486349766,2.89826615825854e-08,3.08686600141809e-05,94,8.8622381234936,2.72941947692417,0.00245972041686639,0.0024546875,""
20250530,"WT","Single",0.961458730016338,0.00941174897915711,3.977678162623e-98,0.00993282567186283,0.0014464157553355,6.99009806382305e-10,0.397112221899213,0.0135012817084894,3.35045021127674e-49,0.0374864613865213,94,11.4884953492826,1.74546927124259,12.0209303163633,11.854428125,""
20250530,"epsE","Single",0.348898058928432,0.0021249631549484,2.17915946846891e-117,0.00902566841726092,0.00102736601748479,7.02241892509798e-14,0.497264776001003,0.0160199401516662,3.38645527568673e-51,0.0130639678662055,94,7.29691270309312,1.39391972649707,5.80945853633447,5.772678125,""
20250530,"rmlC","Single",0.840722636176651,0.00599558949648931,5.67198533846536e-111,0.00532704826286066,0.000825022545323686,4.65504369029954e-09,0.486990651638403,0.0153783515841537,6.08075802420048e-52,0.0301657033290229,94,10.3802979907262,1.42332748735106,11.4416897814829,11.324559375,""
20250530,"spsA","Single",0.425747768383173,0.0260895858845631,3.56533853662085e-29,0.00774866486087203,0.000530340257856034,6.33156282611733e-26,0.181656624859247,0.0056279724430428,1.17430578924415e-52,0.00597247744634587,94,21.953279922609,3.81569998395057,2.05743708790393,2.032703125,""
20250530,"tagG","Single",0.426211606524499,0.00352020775257677,5.18518604419609e-105,0.00985231263671083,0.00106094197647198,6.05132584283595e-15,0.378599138636109,0.0116669297351039,7.39859814125144e-53,0.015677350583195,94,9.88867110246556,1.83082080708632,5.99345607345769,5.9548,""
20250530,"tagH","Single",0.716975777737323,0.068474251485502,1.84369270469898e-17,0.0274706139140894,0.00242677020419284,2.99315360057854e-19,0.156147860779477,0.00864922800834065,2.60556050627061e-32,0.019541509939986,94,20.6397790015147,4.43904371856144,4.36413016729657,4.30465,""
20250530,"wfgD","Single",0.406771349454955,0.00490125311423559,9.71335711785454e-90,0.00984635075563432,0.00103732831975708,2.21014503975341e-15,0.3119068389707,0.0101176267310035,6.09703013692198e-51,0.0148900312042745,94,11.8517646166672,2.22228913879332,4.93876286347985,4.868790625,""
20250601,"LB","-",0.00913235652253888,0.000794873376569146,1.32388262903474e-19,1.95895863844318e-09,2.07067271764583e-09,0.346548973002473,0.686669265397742,0.0518274304486563,3.18184470655382e-23,0.000263430189670312,94,22.3614509356989,1.00943382132947,0.0187025065706843,0.0226859375,""
20250601,"WT","Single",0.942926866761256,0.00723850581221569,5.56816156250872e-108,0.0150295652446431,0.00182430917155683,1.00631656778502e-12,0.416817113088732,0.0129047166562597,1.10682781385621e-52,0.0344845298161225,94,9.89139277927781,1.6629527886308,13.2733455027114,13.122153125,""
20250601,"epsE","Single",0.415223512373265,0.00185381833335629,4.93435746587434e-130,0.00937872154595792,0.000418047097791956,1.6074221778871e-39,0.330344011034571,0.00435644265360847,4.16150310809824e-86,0.00630639901157998,94,11.4048604305556,2.0982586558453,5.22053398706635,5.19794375,""
20250601,"rmlC","Single",0.85306446992023,0.00832036068154002,2.83448308351396e-98,0.013654853463616,0.00227648365965176,3.69008355110656e-08,0.438678322544348,0.0185131495251578,2.02254407912499e-41,0.042475696314819,94,9.38866493278907,1.58008076747369,12.4362290923502,12.28224375,""
20250601,"spsA","Single",0.526848897470626,0.0330227947156742,1.70744753937123e-28,0.0312535130669921,0.00312388626835848,1.79610165750554e-16,0.170472198485591,0.0106881330040013,1.7404160190572e-28,0.0231979224881571,94,16.2116056055267,4.06604236184901,4.64101345431262,4.57560625,""
20250601,"tagG","Single",0.50251927141949,0.0024654967990538,3.43746640952253e-126,0.00418118132664016,0.000501748025330259,6.35320230435126e-13,0.542616344956504,0.0138702208580288,5.76374713828913e-60,0.0144446873858528,94,8.81043294446571,1.27741669966744,7.62555617762871,7.635165625,""
20250601,"tagH","Single",0.738606803420773,0.0226179011219688,4.29074313487117e-53,0.0248947659352033,0.00211711262373153,3.62373348525585e-20,0.210856639427291,0.00775554807064298,2.52320355535242e-46,0.021937891104251,94,15.9151829569626,3.28729122517843,6.43657765070091,6.340903125,""
20250601,"wfgD","Single",0.368401278054506,0.00520018873029646,2.22853487480106e-83,0.0214478681838595,0.00180873800411174,2.25482988629372e-20,0.264388486693324,0.00970769728435824,2.1836543153283e-46,0.0152374629732292,94,10.5283149246648,2.62169956501909,4.91841237592965,4.864559375,""
20250603,"LB","-",0.00139800416838745,3.10707089732438e-05,2.17610789377988e-65,0.00039628657995308,3.93427473087883e-05,1.2880394878117e-16,0.252100956441785,0.0281747998303335,3.17396285283357e-14,0.000143861923214689,94,3.67842221174908,2.74948254994029,0.0265941396110738,0.0266390625,""
20250603,"WT","Single",0.944139775587287,0.00713637545399312,1.30777433138729e-108,0.0130684209187886,0.00158504184445614,9.75805766186746e-13,0.417549429196323,0.0124867864423107,5.50309363057867e-54,0.0331533425746498,94,10.2170830947692,1.66003623066634,12.988632714816,12.8449,""
20250603,"epsE","Single",0.599315040120261,0.0161428154105641,5.87581390614885e-58,0.0276084543051991,0.0020253750907285,5.43456259893412e-24,0.203879176302583,0.00724821830098078,1.45967082579182e-47,0.0180371005743947,94,14.8642147356262,3.39979390308711,5.7608554988122,5.69355625,""
20250603,"rmlC","Single",0.747402566517191,0.00803450381249554,2.42670165915588e-94,0.0089376043026281,0.00193418878929523,1.21402120799049e-05,0.481521654626441,0.0243142605521075,2.60873653098828e-35,0.0437400900451748,94,9.16740926545511,1.43949326868317,11.0684706215166,10.9457875,""
20250603,"spsA","Single",0.639389884436588,0.0103535254514463,6.85046040185045e-78,0.0280792769491945,0.00256745754897577,1.91211627893396e-18,0.259597740796766,0.00948427844100814,1.43807885093337e-46,0.0252422713706343,94,11.866718680289,2.67008171347145,7.75065491887496,7.65040625,""
20250603,"tagG","Single",0.647986646521753,0.00471044821218748,3.4023868479193e-110,0.00705683583148096,0.000953134261391878,5.57242148983089e-11,0.452221262973807,0.0140736532375499,1.73161404861285e-52,0.0234511810316157,94,9.97061295402106,1.53276114440486,9.07767983019426,9.033990625,""
20250603,"tagH","Single",0.47664899419156,0.00925261594319709,1.06248656438706e-70,0.0189070823827431,0.00227389945574381,6.94727929689949e-13,0.269611927054787,0.0122924975103335,9.60816404015909e-39,0.0238059851783131,94,11.8198366357219,2.57090696295158,5.79915840133516,5.709528125,""
20250603,"wfgD","Single",0.624803655778472,0.0185137043241819,2.4764121322327e-54,0.0284518921887299,0.00286647140580583,2.64277084232658e-16,0.218192253722491,0.0100128036789978,1.60044193926398e-38,0.0263888024308002,94,13.9446565163856,3.17677263392462,6.4517847801764,6.355878125,""
