"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"rmlC-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.0173313503589712,"*",0.359251020397371,0.0526422614433222,0.66585977935142
"spsA-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.974793391104115,"NS",0.0761833129561428,-0.230425445997906,0.382792071910192
"tagG-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.982050427874863,"NS",0.0710936376812614,-0.235515121272788,0.37770239663531
"tagH-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.396787607797747,"NS",0.189598321309233,-0.117010437644817,0.496207080263282
"wfgD-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.999999232121567,"NS",0.0121798906219916,-0.294428868332058,0.318788649576041
"WT-epsE","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.00115429707939518,"**",0.495029586980974,0.188420828026925,0.801638345935024
"spsA-rmlC","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.0792843881618798,"NS",-0.283067707441229,-0.589676466395278,0.0235410515128206
"tagG-rmlC","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.0718399139210462,"NS",-0.28815738271611,-0.594766141670159,0.0184513762379391
"tagH-rmlC","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.516840109115831,"NS",-0.169652699088139,-0.476261458042188,0.13695605986591
"wfgD-rmlC","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.0221871002950038,"*",-0.34707112977538,-0.653679888729429,-0.0404623708213306
"WT-rmlC","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.734123683227787,"NS",0.135778566583603,-0.170830192370446,0.442387325537652
"tagG-spsA","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.999999995854131,"NS",-0.00508967527488147,-0.311698434228931,0.301519083679168
"tagH-spsA","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.857389257681094,"NS",0.11341500835309,-0.193193750600959,0.420023767307139
"wfgD-spsA","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.989458904642318,"NS",-0.0640034223341512,-0.3706121812882,0.242605336619898
"WT-spsA","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.00518587838099216,"**",0.418846274024832,0.112237515070783,0.725455032978881
"tagH-tagG","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.832205082033524,"NS",0.118504683627971,-0.188104075326078,0.42511344258202
"wfgD-tagG","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.993156414505672,"NS",-0.0589137470592698,-0.365522506013319,0.247695011894779
"WT-tagG","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.00468205320821158,"**",0.423935949299713,0.117327190345664,0.730544708253762
"wfgD-tagH","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.468441410340036,"NS",-0.177418430687241,-0.48402718964129,0.129190328266808
"WT-tagH","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.0511801839104983,"NS",0.305431265671742,-0.00117749328230721,0.612040024625791
"WT-wfgD","k",0.636688598287821,0.875953750872294,"Tukey",0.000412978429507288,0.00171540132447023,0.0184835472394796,0.00146110539011435,"**",0.482849696358983,0.176240937404934,0.789458455313032
"rmlC-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.955111772504757,"NS",-0.00603111274643775,-0.0275058346122396,0.015443609119364
"spsA-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.912620274377024,"NS",0.0070228702028802,-0.0144518516629216,0.028497592068682
"tagG-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.831654654245075,"NS",-0.00830750482452868,-0.0297822266903305,0.0131672170412731
"tagH-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.823306521471466,"NS",0.00841987265453928,-0.0130548492112625,0.0298945945203411
"wfgD-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.98826037565291,"NS",0.00457775561993525,-0.0168969662458665,0.026052477485737
"WT-epsE","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.999388353490922,"NS",-0.00266067747770783,-0.0241353993435096,0.018814044388094
"spsA-rmlC","n0",0.995703802033741,0.83095063676948,"Tukey",0.114841970382563,0.0592120681099911,0.184320673028485,0.415132530388129,"NS",0.013053982949318,-0.00842073891648385,0.0345287048151197
