HPI,Treatment,Target,Name,Sample,n_replicates,wells_used,MNE_fc,se_log,se_MNE
0,Mock,FRK1,0hpi-Mock,16,3,"M02,M07,M12",1,0.5425499098413676,0.7203881084882116
0,Mock,WRKY29,0hpi-Mock,16,3,"N02,N07,N12",0.9999999999999999,0.26731111404633767,0.306446837072249
0,OBC,FRK1,0hpi-OBC,31,3,"I04,I09,I14",0.9999999999999998,0.2397284349465044,0.27090397034942154
0,OBC,WRKY29,0hpi-OBC,31,3,"J04,J09,J14",1,0.8662238032268063,1.377914405331139
0,WT,FRK1,0hpi-WT,01,3,"A01,A05,A11",1,0.3702594270128907,0.4481102448520673
0,WT,WRKY29,0hpi-WT,01,3,"B01,B05,B11",1,0.34904477242543824,0.4177126633555681
0,rmlC,FRK1,0hpi-rmlC,17,3,"O02,O07,O12",0.9999999999999999,0.7000742974926153,1.013902329805602
0,rmlC,WRKY29,0hpi-rmlC,17,3,"P02,P07,P12",1,0.5809058497811748,0.7876570462723149
0,tagG,FRK1,0hpi-tagG,32,3,"K04,K09,K14",1,0.2510368480669533,0.2853574463958335
0,tagG,WRKY29,0hpi-tagG,32,3,"L04,L09,L14",1,0.3054518060947289,0.35723807293478016
0,wfgD,FRK1,0hpi-wfgD,18,2,"A03,A13",1,0.44683788049863826,0.5633608274628137
0,wfgD,WRKY29,0hpi-wfgD,18,3,"B03,B08,B13",0.9999999999999999,0.1627800536439116,0.1767778332258991
2,Mock,FRK1,2hpi-Mock,19,3,"C03,C08,C13",3.4338802201951584,0.2546811740755202,0.995997829504298
2,Mock,WRKY29,2hpi-Mock,19,3,"D03,D08,D13",0.8801333207937059,0.4522068051875461,0.503239960366255
2,OBC,FRK1,2hpi-OBC,33,3,"M04,M09,M14",13.85865211920631,0.5336334998013338,9.77196576466337
2,OBC,WRKY29,2hpi-OBC,33,3,"N04,N09,N14",1.279525558063152,0.7297736658727852,1.3749922385316324
2,WT,FRK1,2hpi-WT,02,3,"C01,C05,C11",85.75983498572631,0.17988328475855253,16.901345693880717
2,WT,WRKY29,2hpi-WT,02,3,"D01,D05,D11",3.1293212431024715,0.47627327132010355,1.9090829173692219
2,rmlC,FRK1,2hpi-rmlC,34,3,"O04,O09,O14",309.83254343068813,0.42877773814246584,165.8780665818179
2,rmlC,WRKY29,2hpi-rmlC,34,3,"P04,P09,P14",17.944514060763396,0.3987351347047795,8.791716076172698
2,tagG,FRK1,2hpi-tagG,20,3,"E03,E08,E13",2.8699384718870173,0.3452673452195179,1.1834692348143585
2,tagG,WRKY29,2hpi-tagG,20,3,"F03,F08,F13",0.15699856983608795,0.32653312313430743,0.06062565129163133
2,wfgD,FRK1,2hpi-wfgD,21,3,"G03,G08,G13",1.433589786654973,0.04822823282920863,0.07083386896364116
2,wfgD,WRKY29,2hpi-wfgD,21,3,"H03,H08,H13",0.2770882430240183,0.5489005534319961,0.20264805593073
6,Mock,FRK1,6hpi-Mock,03,3,"E01,E05,E11",0.5600466183299816,0.6687472187423884,0.5330471190172126
6,Mock,WRKY29,6hpi-Mock,03,3,"F01,F05,F11",0.8200037286496322,0.3345104722076387,0.32575158328890436
6,OBC,FRK1,6hpi-OBC,05,3,"I01,I05,I11",4.87526999508456,0.48552318092901126,3.0471654753807207
6,OBC,WRKY29,6hpi-OBC,05,3,"J01,J05,J11",0.591396410356582,0.6557181795835425,0.547943921054117
6,WT,FRK1,6hpi-WT,04,3,"G01,G05,G11",25.441816359923266,0.059263859196781954,1.553354498599106
6,WT,WRKY29,6hpi-WT,04,3,"H01,H05,H11",4.493693987132963,0.2847473051450462,1.4803398445905356
6,rmlC,FRK1,6hpi-rmlC,37,3,"E06,E10,E15",68.39161917686977,0.39005839917686136,32.62738806451547
6,rmlC,WRKY29,6hpi-rmlC,37,3,"F06,F10,F15",12.748688365606379,0.1792872173522096,2.5033874123705777
6,tagG,FRK1,6hpi-tagG,35,3,"A06,A10,A15",3.140842171264524,0.6647648859900346,2.9650599078759723
6,tagG,WRKY29,6hpi-tagG,35,2,"B10,B15",2.7987057149099512,0.9151829171922968,4.190311745978264
6,wfgD,FRK1,6hpi-wfgD,36,2,"C06,C15",18.29019941769767,0.8839400766742949,25.979720691559642
6,wfgD,WRKY29,6hpi-wfgD,36,3,"D06,D10,D15",3.0275264451275254,0.36801715631729737,1.3468460843771901
10,Mock,FRK1,10hpi-Mock,06,2,"K01,K05",5.049374869937608,0.31575015632990877,1.8747703036971965
10,Mock,WRKY29,10hpi-Mock,06,2,"L01,L11",0.9352078295456894,0.5785509619210456,0.7326906943894407
10,OBC,FRK1,10hpi-OBC,22,3,"I03,I08,I13",5.315689041163718,0.07388073508283247,0.40759846614658063
10,OBC,WRKY29,10hpi-OBC,22,3,"J03,J08,J13",0.7682474659659368,0.05998506020514344,0.04749358309259209
10,WT,FRK1,10hpi-WT,07,2,"M01,M05",25.242264507447214,0.6358221871351595,22.429626625776194
10,WT,WRKY29,10hpi-WT,07,3,"N01,N05,N11",2.1474331153973827,0.528617194650712,1.4958689225242412
10,rmlC,FRK1,10hpi-rmlC,08,3,"O01,O05,O11",33.89701630236217,0.2362930733148807,9.035095343689992
10,rmlC,WRKY29,10hpi-rmlC,08,3,"P01,P05,P11",4.317562523288473,0.052317242861849765,0.23189615990947002
10,tagG,FRK1,10hpi-tagG,38,3,"G06,G10,G15",3.371348975182552,0.2631507879635358,1.0148531872751037
10,tagG,WRKY29,10hpi-tagG,38,3,"H06,H10,H15",1.2182964960886091,0.7080793431694314,1.254953098932009
10,wfgD,FRK1,10hpi-wfgD,09,2,"A02,A07",1.0405645801280843,0.462031492491512,0.6111186771850511
10,wfgD,WRKY29,10hpi-wfgD,09,3,"B02,B07,B12",1.574893936691558,0.5727452742663216,1.217594755191953
24,Mock,FRK1,24hpi-Mock,10,3,"C02,C07,C12",1.4455976793343064,0.4325955766628447,0.7824337569915023
24,Mock,WRKY29,24hpi-Mock,10,3,"D02,D07,D12",0.3613533785479593,0.3918449765889287,0.17334421643739883
24,OBC,FRK1,24hpi-OBC,23,2,"K08,K13",7.381426493605199,0.31546020296266375,2.737697666936287
24,OBC,WRKY29,24hpi-OBC,23,3,"L03,L08,L13",0.21232774270613253,0.18051033450428497,0.042004478928686584
24,WT,FRK1,24hpi-WT,39,3,"I06,I10,I15",9.135127323890938,0.12347435182296047,1.200547433602345
24,WT,WRKY29,24hpi-WT,39,3,"J06,J10,J15",3.4337383438981637,0.8721280711487027,4.779749278383214
24,rmlC,FRK1,24hpi-rmlC,24,3,"M03,M08,M13",15.845133579150005,0.16425406965932984,2.8285734480878966
