Name,Sample,Target,tech1,tech1_well,outlier_tech1,tech2,tech2_well,outlier_tech2,tech3,tech3_well,outlier_tech3,cq_min,cq_max,cq_range,range_flag,note
0hpi-Mock,16,FRK1,26.56,M02,FALSE,27.22,M07,FALSE,26.9,M12,FALSE,26.56,27.22,0.6600000000000001,FALSE,
0hpi-Mock,16,PP2A,25.2,M17,TRUE,26.03,N17,FALSE,26.12,M22,FALSE,25.2,26.12,0.9200000000000017,TRUE,"rep1,range"
0hpi-Mock,16,WRKY29,26.58,N02,FALSE,27.05,N07,FALSE,27.12,N12,FALSE,26.58,27.12,0.5400000000000027,FALSE,
0hpi-OBC,31,FRK1,28.06,I04,FALSE,27.85,I09,FALSE,27.83,I14,FALSE,27.83,28.06,0.23000000000000043,FALSE,
0hpi-OBC,31,PP2A,26.05,I19,FALSE,26.14,J19,FALSE,26.24,I24,FALSE,26.05,26.24,0.18999999999999773,FALSE,
0hpi-OBC,31,WRKY29,26.81,J04,FALSE,26.46,J09,FALSE,26.61,J14,FALSE,26.46,26.81,0.34999999999999787,FALSE,
0hpi-WT,01,FRK1,28.93,A01,FALSE,28.84,A05,FALSE,28.58,A11,FALSE,28.58,28.93,0.3500000000000014,FALSE,
0hpi-WT,01,PP2A,25.99,A16,FALSE,26.27,B16,FALSE,26.19,A21,FALSE,25.99,26.27,0.28000000000000114,FALSE,
0hpi-WT,01,WRKY29,27.98,B01,FALSE,27.59,B05,FALSE,27.55,B11,FALSE,27.55,27.98,0.4299999999999997,FALSE,
0hpi-rmlC,17,FRK1,26.88,O02,FALSE,26.46,O07,FALSE,27.17,O12,FALSE,26.46,27.17,0.7100000000000009,FALSE,
0hpi-rmlC,17,PP2A,25.06,O17,FALSE,25.45,P17,FALSE,25.58,O22,FALSE,25.06,25.58,0.5199999999999996,FALSE,
0hpi-rmlC,17,WRKY29,26.26,P02,FALSE,26.67,P07,FALSE,26.74,P12,FALSE,26.26,26.74,0.4799999999999969,FALSE,
0hpi-tagG,32,FRK1,27.74,K04,FALSE,27.38,K09,FALSE,27.58,K14,FALSE,27.38,27.74,0.35999999999999943,FALSE,
0hpi-tagG,32,PP2A,25.38,K19,FALSE,25.57,L19,FALSE,25.77,K24,FALSE,25.38,25.77,0.39000000000000057,FALSE,
0hpi-tagG,32,WRKY29,26.92,L04,FALSE,26.87,L09,FALSE,26.63,L14,FALSE,26.63,26.92,0.2900000000000027,FALSE,
0hpi-wfgD,18,FRK1,26.79,A03,FALSE,26,A08,TRUE,26.56,A13,FALSE,26,26.79,0.7899999999999991,TRUE,"rep2,range"
0hpi-wfgD,18,PP2A,25.54,A18,FALSE,25.51,B18,FALSE,25.86,A23,FALSE,25.51,25.86,0.34999999999999787,FALSE,
0hpi-wfgD,18,WRKY29,26.14,B03,FALSE,25.83,B08,FALSE,26.19,B13,FALSE,25.83,26.19,0.360000000000003,FALSE,
10hpi-Mock,06,FRK1,27.02,K01,FALSE,27.24,K05,FALSE,26.37,K11,TRUE,26.37,27.24,0.8699999999999974,TRUE,"rep3,range"
10hpi-Mock,06,PP2A,25.34,K16,FALSE,26.2,L16,TRUE,25.69,K21,FALSE,25.34,26.2,0.8599999999999994,TRUE,"rep2,range"
10hpi-Mock,06,WRKY29,27.36,L01,FALSE,27.62,L05,FALSE,27.54,L11,FALSE,27.36,27.62,0.26000000000000156,FALSE,
10hpi-OBC,22,FRK1,26.2,I03,FALSE,26.03,I08,FALSE,26.22,I13,FALSE,26.03,26.22,0.18999999999999773,FALSE,
10hpi-OBC,22,PP2A,26.08,I18,FALSE,26.49,J18,FALSE,26.83,I23,FALSE,26.08,26.83,0.75,FALSE,
10hpi-OBC,22,WRKY29,27.81,J03,FALSE,27.21,J08,FALSE,27.5,J13,FALSE,27.21,27.81,0.5999999999999979,FALSE,
10hpi-WT,07,FRK1,25.45,M01,FALSE,25.93,M05,FALSE,24.84,M11,TRUE,24.84,25.93,1.0899999999999999,TRUE,"rep3,range"
10hpi-WT,07,PP2A,24.89,M16,TRUE,26.06,N16,TRUE,25.46,M21,TRUE,24.89,26.06,1.1699999999999982,TRUE,"rep1,rep2,rep3,range"
10hpi-WT,07,WRKY29,26.5,N01,FALSE,26.79,N05,FALSE,26.32,N11,FALSE,26.32,26.79,0.46999999999999886,FALSE,
10hpi-rmlC,08,FRK1,26.36,O01,TRUE,27.07,O05,TRUE,25.82,O11,TRUE,25.82,27.07,1.25,TRUE,"rep1,rep2,rep3,range"
10hpi-rmlC,08,PP2A,25.49,O16,FALSE,25.95,P16,FALSE,25.58,O21,FALSE,25.49,25.95,0.46000000000000085,FALSE,
10hpi-rmlC,08,WRKY29,27.44,P01,FALSE,27.29,P05,FALSE,27.16,P11,FALSE,27.16,27.44,0.28000000000000114,FALSE,
10hpi-tagG,38,FRK1,24.72,G06,FALSE,24.61,G10,FALSE,24.48,G15,FALSE,24.48,24.72,0.23999999999999844,FALSE,
10hpi-tagG,38,PP2A,25.7,G20,FALSE,25.85,H20,FALSE,26.09,H21,FALSE,25.7,26.09,0.39000000000000057,FALSE,
10hpi-tagG,38,WRKY29,26.24,H06,FALSE,26.42,H10,FALSE,26.7,H15,FALSE,26.24,26.7,0.46000000000000085,FALSE,
10hpi-wfgD,09,FRK1,25.38,A02,FALSE,25.58,A07,FALSE,26.36,A12,TRUE,25.38,26.36,0.9800000000000004,TRUE,"rep3,range"
10hpi-wfgD,09,PP2A,25.49,A17,FALSE,26.04,B17,FALSE,25.94,A22,FALSE,25.49,26.04,0.5500000000000007,FALSE,
10hpi-wfgD,09,WRKY29,26.31,B02,TRUE,26.85,B07,FALSE,26.93,B12,FALSE,26.31,26.93,0.620000000000001,FALSE,rep1
24hpi-Mock,10,FRK1,26.11,C02,FALSE,26.21,C07,FALSE,26.79,C12,TRUE,26.11,26.79,0.6799999999999997,FALSE,rep3
24hpi-Mock,10,PP2A,25.1,C17,TRUE,25.63,D17,FALSE,25.76,C22,FALSE,25.1,25.76,0.6600000000000001,FALSE,rep1
24hpi-Mock,10,WRKY29,28.12,D02,FALSE,27.77,D07,FALSE,28.17,D12,FALSE,27.77,28.17,0.40000000000000213,FALSE,
24hpi-OBC,23,FRK1,25.35,K03,FALSE,24.88,K08,FALSE,24.91,K13,FALSE,24.88,25.35,0.4700000000000024,FALSE,
24hpi-OBC,23,PP2A,24.96,K18,FALSE,25.29,L18,FALSE,25.76,K23,FALSE,24.96,25.76,0.8000000000000007,TRUE,range
