"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ID=BJEIHDPM_00922;eC_number=4.2.1.46;Name=rfbB;dbxref=COG:COG1088;gene=rfbB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P26391;locus_tag=BJEIHDPM_00922;product=dTDP-glucose 4%2C6-dehydratase",6.96864936253499,13.3316134771167,47.7754172232979,3.02369671745301e-41,1.4510720547057e-37,83.9306258215879
"ID=BJEIHDPM_00924;eC_number=2.7.7.24;Name=rffH_1;dbxref=COG:COG1209;gene=rffH_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P61887;locus_tag=BJEIHDPM_00924;product=Glucose-1-phosphate thymidylyltransferase 2",6.77629614458683,11.8351135474719,44.7880661873981,5.75839115262128e-40,1.38172595707147e-36,80.9240107676946
"ID=BJEIHDPM_03393;eC_number=5.1.3.26;Name=gnu;dbxref=COG:COG0451;gene=gnu;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q8X7P7;locus_tag=BJEIHDPM_03393;product=N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans%2Coctacis-undecaprenol 4-epimerase",6.7605411801542,10.1548893816631,36.2979702532801,7.90705599261963e-36,1.26486539028605e-32,71.3926540494628
"ID=BJEIHDPM_00929;eC_number=2.4.-.-;Name=epsE_2;dbxref=COG:COG0463;gene=epsE_2;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P71054;locus_tag=BJEIHDPM_00929;product=Putative glycosyltransferase EpsE",4.99123718907629,13.1507080666644,34.2960586812403,1.01346036985082e-34,1.21589907872852e-31,69.1360807284146
"ID=BJEIHDPM_01827;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01827;product=hypothetical protein",-4.89982787679194,10.2217833902855,-33.2804869863468,3.89856768624348e-34,3.74184526525649e-31,67.51412828948
"ID=BJEIHDPM_01315;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01315;product=hypothetical protein",6.45999291940234,9.87437812371646,31.8537836497901,2.76217318063243e-33,2.20927818230917e-30,65.6814176012844
"ID=BJEIHDPM_01314;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01314;product=hypothetical protein",5.49866042130761,9.5170611678659,31.3307934931918,5.77723689970996e-33,3.96070855452973e-30,64.9514311893944
"ID=BJEIHDPM_01648;eC_number=3.1.-.-;Name=rhsA_1;dbxref=COG:COG3209;gene=rhsA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:E0SAK8;locus_tag=BJEIHDPM_01648;product=putative deoxyribonuclease RhsA",-5.14578526416408,9.9844418607867,-30.23341071987,2.82030466260073e-32,1.69183025947762e-29,63.2807332195445
"ID=BJEIHDPM_03193;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_03193;product=hypothetical protein",-5.1840235019437,9.07460797917453,-28.7480099762523,2.62575447979524e-31,1.40011063872637e-28,60.8271914505182
"ID=BJEIHDPM_02002;Name=tnsB;gene=tnsB;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P13989;locus_tag=BJEIHDPM_02002;product=Transposon Tn7 transposition protein TnsB",-5.22370405541787,9.30315043577758,-28.4011013989817,4.48761065772425e-31,2.14462165733328e-28,60.4085280264454
"ID=BJEIHDPM_01713;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01713;product=hypothetical protein",-5.18042243546414,9.5812289002262,-28.3424885597426,4.91578208599002e-31,2.14462165733328e-28,60.4148820238489
"ID=BJEIHDPM_00937;Name=spsA;dbxref=COG:COG0463;gene=spsA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P39621;locus_tag=BJEIHDPM_00937;product=Spore coat polysaccharide biosynthesis protein SpsA",4.92103953527977,12.0558094287397,27.3488263432213,2.36529505501061e-30,9.45920914082993e-28,59.0945502262431
"ID=BJEIHDPM_00056;eC_number=1.-.-.-;Name=nemA_1;dbxref=COG:COG1902;gene=nemA_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P77258;locus_tag=BJEIHDPM_00056;product=N-ethylmaleimide reductase",-5.58427340866661,8.10286592740431,-27.014051142362,4.06175280655583e-30,1.49941167066626e-27,57.8417796771807
"ID=BJEIHDPM_01203;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01203;product=hypothetical protein",-5.25811344397434,9.33067580718591,-26.8660041531969,5.16870234609025e-30,1.67022554881609e-27,58.0541033921519
"ID=BJEIHDPM_01681;Name=lgrD;gene=lgrD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q70LM4;locus_tag=BJEIHDPM_01681;product=Linear gramicidin synthase subunit D",-4.81402491030177,9.19301107910372,-26.8598892575151,5.22054245306134e-30,1.67022554881609e-27,58.0827185803586
"ID=BJEIHDPM_01828;eC_number=3.6.4.12;Name=pcrA;gene=pcrA;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P64319;locus_tag=BJEIHDPM_01828;product=ATP-dependent DNA helicase PcrA",-5.06199835167162,9.25404980076475,-26.782827198886,5.92120688547153e-30,1.77599199021112e-27,57.9392217207606
"ID=BJEIHDPM_01313;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01313;product=hypothetical protein",4.86502185362426,12.3524884392727,26.6313202121722,7.59184160068743e-30,2.14313222598229e-27,57.9202605974533
"ID=BJEIHDPM_01801;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01801;product=hypothetical protein",-4.99184166429534,9.13390228550923,-26.4398870024359,1.04112552814691e-29,2.7757563386539e-27,57.3641200084932
"ID=BJEIHDPM_00590;eC_number=2.7.13.3;Name=bvgS_1;gene=bvgS_1;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P16575;locus_tag=BJEIHDPM_00590;product=Virulence sensor protein BvgS",-4.98718936292964,8.83269525978051,-26.1655743456884,1.64273071181888e-29,3.96034063068003e-27,56.8210432789387
"ID=BJEIHDPM_04484;Name=tycC_4;gene=tycC_4;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O30409;locus_tag=BJEIHDPM_04484;product=Tyrocidine synthase 3",-5.44398261534563,8.91576692576795,-26.1627545615967,1.65048578065432e-29,3.96034063068003e-27,56.7906332946449
"ID=BJEIHDPM_01700;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_01700;product=hypothetical protein",-4.90700042067253,8.80956805321855,-26.008840062628,2.13575620465828e-29,4.88071144102623e-27,56.5966701492494
"ID=BJEIHDPM_00925;eC_number=2.4.1.305;Name=wfgD;gene=wfgD;inference=ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:B5L3F2;locus_tag=BJEIHDPM_00925;product=UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1%2C3-glucosyltransferase WfgD",4.90941115283594,12.7008242199963,25.9452520098036,2.37666241945007e-29,5.1843649777004e-27,56.7691671312934
"ID=BJEIHDPM_02448;inference=ab initio prediction:Prodigal:2.6;locus_tag=BJEIHDPM_02448;product=hypothetical protein",-4.83160409200347,9.10344819575024,-25.7884180623331,3.09651876031781e-29,6.13391817302329e-27,56.3182405590744
